id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13
'01031,Logan_pass_VC,2023-07-02 12:52:25,2023-07-02 12:54:55,150.0,Hidden_lake_overlook,2023-07-02 12:57:10,2023-07-02 15:07:55,7845.0,Logan_pass_VC,2023-07-02 15:12:10,2023-07-02 15:19:10,420.0,Shuttle_Logan_pass,2023-07-02 15:19:55,2023-07-02 15:27:10,435.0,Shuttle_Logan_pass,2023-07-02 15:27:25,2023-07-02 15:29:54,149.0,Shuttle_Logan_pass,2023-07-02 15:30:25,2023-07-02 15:33:10,165.0,Logan_pass_parking,2023-07-02 15:30:55,2023-07-02 15:33:25,150.0,,,,,,,,,,,,,,,,,,,,,,,,
'01061,Shuttle_Logan_pass,2023-07-02 12:29:10,2023-07-02 12:37:10,480.0,Logan_pass_VC,2023-07-02 12:38:40,2023-07-02 12:44:10,330.0,Logan_pass_VC,2023-07-02 12:45:40,2023-07-02 12:48:10,150.0,Logan_pass_VC,2023-07-02 12:51:40,2023-07-02 12:55:55,255.0,Hidden_lake_overlook,2023-07-02 12:56:40,2023-07-02 14:35:55,5955.0,Logan_pass_VC,2023-07-02 14:40:25,2023-07-02 14:57:10,1005.0,Logan_pass_VC,2023-07-02 14:58:55,2023-07-02 15:01:25,150.0,Shuttle_Logan_pass,2023-07-02 15:01:55,2023-07-02 15:06:40,285.0,Logan_pass_parking,2023-07-02 15:06:55,2023-07-02 15:08:55,120.0,Shuttle_Logan_pass,2023-07-02 17:28:10,2023-07-02 17:47:25,1155.0,,,,,,,,,,,,
'01241,Logan_pass_VC,2023-07-02 13:14:53,2023-07-02 13:19:23,270.0,Hidden_lake_overlook,2023-07-02 13:24:08,2023-07-02 14:54:38,5430.0,Logan_pass_VC,2023-07-02 14:56:38,2023-07-02 14:59:53,195.0,Logan_pass_VC,2023-07-02 15:05:08,2023-07-02 15:08:08,180.0,Shuttle_Logan_pass,2023-07-02 15:09:07,2023-07-02 15:14:53,346.0,Logan_pass_parking,2023-07-02 15:13:08,2023-07-02 15:16:23,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01341,Hidden_lake_overlook,2023-07-02 13:52:29,2023-07-02 15:42:14,6585.0,Logan_pass_VC,2023-07-02 15:44:59,2023-07-02 16:04:29,1170.0,Shuttle_Logan_pass,2023-07-02 16:04:59,2023-07-02 16:07:59,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01501,Logan_pass_VC,2023-07-02 13:58:30,2023-07-02 14:05:30,420.0,Hidden_lake_overlook,2023-07-02 14:09:15,2023-07-02 15:37:30,5295.0,Logan_pass_VC,2023-07-02 15:41:00,2023-07-02 16:00:00,1140.0,Logan_pass_parking,2023-07-02 16:00:30,2023-07-02 16:09:00,510.0,Shuttle_Logan_pass,2023-07-02 16:00:30,2023-07-02 16:02:45,135.0,Shuttle_Logan_pass,2023-07-02 16:05:45,2023-07-02 16:08:00,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02011,Logan_pass_parking,2023-07-05 09:25:39,2023-07-05 09:28:39,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02021,Logan_pass_parking,2023-07-05 09:12:16,2023-07-05 10:29:46,4650.0,Logan_pass_parking,2023-07-05 10:31:16,2023-07-05 10:33:46,150.0,Loop_highline_grinnell_glac,2023-07-05 10:35:01,2023-07-05 17:54:32,26371.0,Logan_pass_parking,2023-07-05 19:02:06,2023-07-05 19:06:36,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02031,Logan_pass_parking,2023-07-05 10:59:43,2023-07-05 11:02:28,165.0,Logan_pass_VC,2023-07-05 11:03:13,2023-07-05 11:08:13,300.0,Logan_pass_parking,2023-07-05 11:15:43,2023-07-05 11:20:27,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02081,Logan_pass_parking,2023-07-05 10:17:42,2023-07-05 12:22:27,7485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02091,Logan_pass_parking,2023-07-05 10:04:17,2023-07-05 10:06:47,150.0,Logan_pass_VC,2023-07-05 10:07:32,2023-07-05 10:26:32,1140.0,Logan_pass_parking,2023-07-05 10:27:02,2023-07-05 10:38:47,705.0,Logan_pass_parking,2023-07-05 13:44:47,2023-07-05 13:56:17,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
