id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3
'01061,Shuttle_Loop,2023-07-02 18:10:25,2023-07-02 18:14:10,225.0,,,,,,,,
'01241,Shuttle_Loop,2023-07-02 15:44:08,2023-07-02 15:46:08,120.0,,,,,,,,
'01341,Shuttle_Loop,2023-07-02 16:32:14,2023-07-02 16:34:29,135.0,,,,,,,,
'01501,Shuttle_Loop,2023-07-02 16:32:15,2023-07-02 16:34:30,135.0,,,,,,,,
'02021,Shuttle_Loop,2023-07-05 17:56:47,2023-07-05 18:02:17,330.0,Shuttle_Loop,2023-07-05 18:04:02,2023-07-05 18:30:33,1591.0,Shuttle_Loop,2023-07-05 18:34:04,2023-07-05 18:38:19,255.0
'02271,Shuttle_Loop,2023-07-05 16:24:53,2023-07-05 16:27:23,150.0,Shuttle_Loop,2023-07-05 16:32:38,2023-07-05 16:42:23,585.0,Shuttle_Loop,2023-07-05 16:42:53,2023-07-05 16:59:51,1018.0
'02291,Shuttle_Loop,2023-07-05 16:19:42,2023-07-05 16:48:13,1711.0,,,,,,,,
'02301,Loop_parking,2023-07-05 09:08:10,2023-07-05 09:14:40,390.0,,,,,,,,
'02331,Loop_parking,2023-07-05 09:28:44,2023-07-05 09:46:14,1050.0,,,,,,,,
'02341,Loop_parking,2023-07-05 09:04:46,2023-07-05 09:30:01,1515.0,Shuttle_Loop,2023-07-05 09:32:16,2023-07-05 10:12:46,2430.0,Loop_parking,2023-07-05 18:32:46,2023-07-05 18:50:16,1050.0
'02481,Loop_parking,2023-07-05 09:52:09,2023-07-05 09:56:24,255.0,Loop_parking,2023-07-05 09:57:09,2023-07-05 10:05:11,482.0,,,,
'0355,Loop_parking,2023-07-12 18:54:39,2023-07-12 18:59:54,315.0,,,,,,,,
'04051,Shuttle_Loop,2023-07-07 19:12:00,2023-07-07 19:16:29,269.0,Shuttle_Loop,2023-07-07 19:20:45,2023-07-07 19:33:15,750.0,,,,
'04301,Loop_parking,2023-07-05 09:08:10,2023-07-05 09:14:40,390.0,,,,,,,,
'05091,Loop_parking,2023-07-10 11:52:25,2023-07-10 11:57:25,300.0,Loop_parking,2023-07-10 12:05:25,2023-07-10 12:08:40,195.0,,,,
'05131,Loop_parking,2023-07-10 08:13:05,2023-07-10 08:22:05,540.0,,,,,,,,
'05141,Loop_parking,2023-07-10 13:33:11,2023-07-10 13:48:41,930.0,,,,,,,,
'05231,Loop_parking,2023-07-10 09:47:52,2023-07-10 09:55:37,465.0,,,,,,,,
'05291,Loop_parking,2023-07-10 08:18:48,2023-07-10 08:47:48,1740.0,Loop_parking,2023-07-10 16:05:03,2023-07-10 16:12:48,465.0,,,,
'05361,Loop_parking,2023-07-10 07:53:31,2023-07-10 08:00:31,420.0,,,,,,,,
'06041,Loop_parking,2023-07-11 12:10:49,2023-07-11 12:23:04,735.0,,,,,,,,
'06131,Loop_parking,2023-07-11 12:26:30,2023-07-11 12:33:45,435.0,,,,,,,,
'06181,Loop_parking,2023-07-11 13:40:04,2023-07-11 13:43:04,180.0,Loop_parking,2023-07-11 13:44:04,2023-07-11 13:46:04,120.0,,,,
'06421,Loop_parking,2023-07-11 12:43:16,2023-07-11 13:01:47,1111.0,Loop_parking,2023-07-11 13:02:02,2023-07-11 13:08:32,390.0,Loop_parking,2023-07-11 13:12:32,2023-07-11 13:20:32,480.0
'06441,Loop_parking,2023-07-11 17:17:14,2023-07-11 17:26:59,585.0,,,,,,,,
'07521,Loop_parking,2023-07-12 17:43:28,2023-07-12 17:48:43,315.0,,,,,,,,
'09501,Loop_parking,2023-07-16 10:06:47,2023-07-16 10:27:32,1245.0,,,,,,,,
'10081,Loop_parking,2023-07-18 18:52:23,2023-07-18 18:59:08,405.0,,,,,,,,
'13231,Loop_parking,2023-07-24 19:04:26,2023-07-24 19:11:57,451.0,,,,,,,,
'14181,Loop_parking,2023-07-26 19:20:00,2023-07-26 19:29:45,585.0,,,,,,,,
'14441,Loop_parking,2023-07-26 18:28:22,2023-07-26 18:30:52,150.0,,,,,,,,
'15161,Shuttle_Loop,2023-07-27 19:23:17,2023-07-27 19:31:17,480.0,Shuttle_Loop,2023-07-27 19:38:32,2023-07-27 19:47:47,555.0,,,,
'15501,Shuttle_Loop,2023-07-27 16:14:17,2023-07-27 16:17:02,165.0,,,,,,,,
'16021,Loop_parking,2023-07-30 17:04:25,2023-07-30 17:10:10,345.0,,,,,,,,
'16411,Loop_parking,2023-07-30 17:57:28,2023-07-30 18:01:14,226.0,,,,,,,,
'16501,Loop_parking,2023-07-30 18:27:24,2023-07-30 18:40:54,810.0,,,,,,,,
'17381,Loop_parking,2023-07-31 17:21:28,2023-07-31 17:24:43,195.0,,,,,,,,
'17461,Loop_parking,2023-07-31 17:56:17,2023-07-31 18:03:17,420.0,,,,,,,,
'19041,Loop_parking,2023-08-01 18:04:23,2023-08-01 18:07:38,195.0,Shuttle_Loop,2023-08-01 18:08:08,2023-08-01 18:10:23,135.0,,,,
'20081,Loop_parking,2023-08-02 14:22:22,2023-08-02 14:24:22,120.0,,,,,,,,
'20161,Loop_parking,2023-08-02 17:07:20,2023-08-02 17:14:50,450.0,,,,,,,,
'23291,Shuttle_Loop,2023-08-06 14:59:19,2023-08-06 15:14:04,885.0,,,,,,,,
'24441,Shuttle_Loop,2023-08-07 16:08:36,2023-08-07 16:18:36,600.0,,,,,,,,
'25281,Shuttle_Loop,2023-08-08 12:57:32,2023-08-08 13:29:47,1935.0,,,,,,,,
'25321,Loop_parking,2023-08-08 14:41:24,2023-08-08 14:45:54,270.0,,,,,,,,
