id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10
'01061,Sun_point_parking,2023-07-02 16:22:25,2023-07-02 16:24:40,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02031,Sun_point_parking,2023-07-05 15:47:10,2023-07-05 16:12:55,1545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02081,Sun_point_parking,2023-07-05 12:54:42,2023-07-05 13:34:12,2370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02091,Sun_point_parking,2023-07-05 13:07:17,2023-07-05 13:09:17,120.0,Sun_point_parking,2023-07-05 13:10:17,2023-07-05 13:26:02,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02111,Sun_point_parking,2023-07-05 13:07:28,2023-07-05 13:09:28,120.0,Sun_point_nature_trail,2023-07-05 13:09:43,2023-07-05 13:13:58,255.0,Sun_point_nature_trail,2023-07-05 13:14:28,2023-07-05 13:19:58,330.0,Sun_point_parking,2023-07-05 13:21:58,2023-07-05 13:25:58,240.0,,,,,,,,,,,,,,,,,,,,,,,,
'02161,Sun_point_parking,2023-07-05 11:48:41,2023-07-05 12:16:17,1656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02181,Sun_point_parking,2023-07-05 15:13:15,2023-07-05 15:45:00,1905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02201,Sun_point_parking,2023-07-05 16:02:44,2023-07-05 16:31:29,1725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02301,Sun_point_parking,2023-07-05 11:01:10,2023-07-05 11:29:10,1680.0,Shuttle_Sun_point,2023-07-05 11:01:55,2023-07-05 14:04:10,10935.0,Sun_point_parking,2023-07-05 11:34:25,2023-07-05 11:41:25,420.0,Sun_point_parking,2023-07-05 12:13:25,2023-07-05 12:23:40,615.0,Sun_point_parking,2023-07-05 12:40:10,2023-07-05 12:54:40,870.0,Sun_point_parking,2023-07-05 12:57:10,2023-07-05 13:05:25,495.0,Sun_point_parking,2023-07-05 13:13:10,2023-07-05 13:16:10,180.0,Sun_point_parking,2023-07-05 13:16:40,2023-07-05 13:21:25,285.0,Sun_point_parking,2023-07-05 13:26:25,2023-07-05 13:28:40,135.0,Sun_point_parking,2023-07-05 13:41:25,2023-07-05 13:50:25,540.0
'02321,Sun_point_parking,2023-07-05 13:13:48,2023-07-05 13:18:03,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,Sun_point_parking,2023-07-05 13:47:44,2023-07-05 13:50:29,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02451,Sun_point_parking,2023-07-05 09:58:38,2023-07-05 10:12:53,855.0,Sun_point_parking,2023-07-05 10:13:08,2023-07-05 10:18:08,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02471,Sun_point_parking,2023-07-05 11:27:50,2023-07-05 11:35:05,435.0,Sun_point_parking,2023-07-05 11:36:49,2023-07-05 12:10:35,2026.0,Shuttle_Sun_point,2023-07-05 12:03:35,2023-07-05 12:07:35,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02551,Sun_point_parking,2023-07-05 11:29:54,2023-07-05 11:35:39,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03161,Sun_point_parking,2023-07-06 10:49:00,2023-07-06 10:51:00,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03201,Sun_point_parking,2023-07-06 12:49:39,2023-07-06 12:51:39,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03411,Sun_point_parking,2023-07-06 12:58:01,2023-07-06 13:00:31,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
