id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23,location_24,enter_time_24,exit_time_24,duration_24,location_25,enter_time_25,exit_time_25,duration_25,location_26,enter_time_26,exit_time_26,duration_26,location_27,enter_time_27,exit_time_27,duration_27,location_28,enter_time_28,exit_time_28,duration_28
'01031,LakeMcDonald,2023-07-02 11:50:55,2023-07-02 11:53:25,150.0,Avalanche,2023-07-02 12:03:25,2023-07-02 12:09:40,660.0,Logan,2023-07-02 12:52:25,2023-07-02 15:33:25,9314.0,Avalanche,2023-07-02 16:17:56,2023-07-02 16:21:41,360.0,LakeMcDonald,2023-07-02 16:31:56,2023-07-02 16:35:41,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01061,LakeMcDonald,2023-07-02 11:21:43,2023-07-02 11:23:58,135.0,Avalanche,2023-07-02 11:34:01,2023-07-02 11:39:49,696.0,Logan,2023-07-02 12:29:10,2023-07-02 15:08:55,8730.0,RisingSun,2023-07-02 16:12:10,2023-07-02 16:14:10,120.0,SunPoint,2023-07-02 16:22:25,2023-07-02 16:24:40,135.0,Waterfalls,2023-07-02 16:38:09,2023-07-02 17:12:10,1802.0,Logan,2023-07-02 17:28:10,2023-07-02 17:47:25,1155.0,Loop,2023-07-02 18:10:25,2023-07-02 18:14:10,225.0,Avalanche,2023-07-02 18:28:40,2023-07-02 18:30:55,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01241,LakeMcDonald,2023-07-02 12:05:23,2023-07-02 12:08:53,345.0,Avalanche,2023-07-02 12:20:08,2023-07-02 12:24:38,270.0,Logan,2023-07-02 13:14:53,2023-07-02 15:16:23,6616.0,Loop,2023-07-02 15:44:08,2023-07-02 15:46:08,120.0,Avalanche,2023-07-02 16:04:19,2023-07-02 16:58:04,4065.0,LakeMcDonald,2023-07-02 17:08:49,2023-07-02 17:11:19,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01341,LakeMcDonald,2023-07-02 12:05:19,2023-07-02 12:08:49,210.0,Avalanche,2023-07-02 12:20:44,2023-07-02 12:23:14,270.0,Logan,2023-07-02 13:52:29,2023-07-02 16:07:59,7935.0,Loop,2023-07-02 16:32:14,2023-07-02 16:34:29,135.0,Avalanche,2023-07-02 16:51:14,2023-07-02 17:02:44,1215.0,LakeMcDonald,2023-07-02 17:13:29,2023-07-02 17:17:14,225.0,Apgar,2023-07-02 19:37:24,2023-07-02 23:34:09,4124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01371,LakeMcDonald,2023-07-02 12:05:35,2023-07-02 12:09:05,345.0,Avalanche,2023-07-02 12:20:59,2023-07-02 16:29:28,14925.0,LakeMcDonald,2023-07-02 16:38:43,2023-07-02 16:44:13,465.0,Apgar,2023-07-02 17:07:13,2023-07-03 05:44:55,45314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01401,LakeMcDonald,2023-07-02 13:29:18,2023-07-02 13:33:18,405.0,Avalanche,2023-07-02 13:44:18,2023-07-02 16:58:18,13003.0,LakeMcDonald,2023-07-02 17:08:48,2023-07-02 17:11:18,150.0,Apgar,2023-07-02 17:34:18,2023-07-03 05:49:52,15253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01501,LakeMcDonald,2023-07-02 12:46:00,2023-07-02 12:50:00,240.0,Avalanche,2023-07-02 12:59:15,2023-07-02 13:13:45,1545.0,Logan,2023-07-02 13:58:30,2023-07-02 16:09:00,7635.0,Loop,2023-07-02 16:32:15,2023-07-02 16:34:30,135.0,Avalanche,2023-07-02 16:50:45,2023-07-02 17:02:30,1245.0,LakeMcDonald,2023-07-02 17:13:30,2023-07-02 17:17:15,225.0,Apgar,2023-07-02 18:43:04,2023-07-03 05:33:02,21552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01511,LakeMcDonald,2023-07-02 12:05:23,2023-07-02 12:08:53,345.0,Avalanche,2023-07-02 12:19:38,2023-07-02 15:39:38,4275.0,LakeMcDonald,2023-07-02 15:50:08,2023-07-02 15:52:53,165.0,Apgar,2023-07-02 16:16:38,2023-07-03 04:17:02,21594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02011,Logan,2023-07-05 09:25:39,2023-07-05 09:28:39,180.0,Waterfalls,2023-07-05 09:45:39,2023-07-05 09:47:39,120.0,LakeMcDonald,2023-07-05 12:04:06,2023-07-05 12:45:07,2502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02021,Logan,2023-07-05 09:12:16,2023-07-05 17:54:32,31171.0,Loop,2023-07-05 17:56:47,2023-07-05 18:38:19,2176.0,Logan,2023-07-05 19:02:06,2023-07-05 19:06:36,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
