id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12
'01031,Avalanche_parking,2023-07-02 12:03:25,2023-07-02 12:09:40,375.0,Shuttle_Avalanche,2023-07-02 12:03:40,2023-07-02 12:08:25,285.0,Avalanche_parking,2023-07-02 16:17:56,2023-07-02 16:21:41,225.0,Shuttle_Avalanche,2023-07-02 16:18:26,2023-07-02 16:20:41,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01061,Avalanche_parking,2023-07-02 11:34:01,2023-07-02 11:39:49,348.0,Shuttle_Avalanche,2023-07-02 11:34:01,2023-07-02 11:39:49,348.0,Avalanche_parking,2023-07-02 18:28:40,2023-07-02 18:30:55,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01241,Avalanche_parking,2023-07-02 12:20:08,2023-07-02 16:06:19,390.0,Trail_of_Cedars,2023-07-02 16:09:34,2023-07-02 16:35:49,1575.0,Avalanche_parking,2023-07-02 16:36:49,2023-07-02 16:58:04,1275.0,Shuttle_Avalanche,2023-07-02 16:38:19,2023-07-02 16:56:34,1095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01341,Avalanche_parking,2023-07-02 12:20:44,2023-07-02 12:23:14,150.0,Shuttle_Avalanche,2023-07-02 12:20:59,2023-07-02 12:22:59,120.0,Avalanche_parking,2023-07-02 16:51:14,2023-07-02 17:02:44,690.0,Shuttle_Avalanche,2023-07-02 16:52:14,2023-07-02 17:00:59,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01371,Avalanche_parking,2023-07-02 12:20:59,2023-07-02 12:23:00,121.0,Trail_of_Cedars,2023-07-02 12:26:45,2023-07-02 12:40:00,795.0,Avalanche_trail,2023-07-02 12:40:15,2023-07-02 16:01:58,12074.0,Trail_of_Cedars,2023-07-02 16:02:28,2023-07-02 16:13:28,660.0,Avalanche_parking,2023-07-02 16:16:58,2023-07-02 16:29:28,750.0,Shuttle_Avalanche,2023-07-02 16:17:28,2023-07-02 16:26:13,525.0,,,,,,,,,,,,,,,,,,,,,,,,
'01401,Avalanche_parking,2023-07-02 13:44:18,2023-07-02 13:50:33,375.0,Shuttle_Avalanche,2023-07-02 13:44:18,2023-07-02 13:49:47,329.0,Trail_of_Cedars,2023-07-02 13:52:03,2023-07-02 14:02:02,599.0,Avalanche_trail,2023-07-02 14:02:33,2023-07-02 16:23:33,8460.0,Trail_of_Cedars,2023-07-02 16:23:48,2023-07-02 16:33:03,555.0,Avalanche_parking,2023-07-02 16:34:03,2023-07-02 16:58:18,1455.0,Shuttle_Avalanche,2023-07-02 16:36:03,2023-07-02 16:56:33,1230.0,,,,,,,,,,,,,,,,,,,,
'01501,Avalanche_parking,2023-07-02 12:59:15,2023-07-02 13:13:45,870.0,Shuttle_Avalanche,2023-07-02 12:59:15,2023-07-02 13:10:30,675.0,Avalanche_parking,2023-07-02 16:50:45,2023-07-02 17:02:30,705.0,Shuttle_Avalanche,2023-07-02 16:52:00,2023-07-02 17:01:00,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'01511,Avalanche_parking,2023-07-02 12:19:38,2023-07-02 12:26:23,405.0,Shuttle_Avalanche,2023-07-02 12:19:53,2023-07-02 12:26:23,390.0,Trail_of_Cedars,2023-07-02 12:28:08,2023-07-02 12:36:23,495.0,Avalanche_trail,2023-07-02 12:37:08,2023-07-02 12:48:38,690.0,Trail_of_Cedars,2023-07-02 15:04:53,2023-07-02 15:26:08,1275.0,Avalanche_parking,2023-07-02 15:29:38,2023-07-02 15:39:38,600.0,Shuttle_Avalanche,2023-07-02 15:30:53,2023-07-02 15:37:53,420.0,,,,,,,,,,,,,,,,,,,,
'02061,Trail_of_Cedars,2023-07-05 09:14:40,2023-07-05 09:44:55,1515.0,Avalanche_trail,2023-07-05 09:45:10,2023-07-05 12:50:40,11130.0,Trail_of_Cedars,2023-07-05 12:54:10,2023-07-05 13:29:10,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02171,Avalanche_parking,2023-07-05 08:22:44,2023-07-05 08:55:44,1950.0,Trail_of_Cedars,2023-07-05 09:01:14,2023-07-05 09:11:28,614.0,Avalanche_trail,2023-07-05 09:11:59,2023-07-05 13:20:44,14925.0,Trail_of_Cedars,2023-07-05 13:21:14,2023-07-05 13:32:14,660.0,Avalanche_parking,2023-07-05 13:33:29,2023-07-05 15:19:14,4290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02201,Avalanche_parking,2023-07-05 08:13:14,2023-07-05 09:17:14,3300.0,Shuttle_Avalanche,2023-07-05 09:11:44,2023-07-05 09:15:59,255.0,Avalanche_parking,2023-07-05 09:17:59,2023-07-05 09:36:44,1065.0,Trail_of_Cedars,2023-07-05 09:39:44,2023-07-05 09:49:14,570.0,Avalanche_trail,2023-07-05 09:49:29,2023-07-05 12:33:29,9840.0,Trail_of_Cedars,2023-07-05 12:33:59,2023-07-05 12:54:29,1230.0,Avalanche_parking,2023-07-05 12:55:29,2023-07-05 13:00:29,300.0,,,,,,,,,,,,,,,,,,,,
'02211,Avalanche_parking,2023-07-05 07:56:45,2023-07-05 08:07:15,630.0,Shuttle_Avalanche,2023-07-05 07:57:45,2023-07-05 08:06:45,540.0,Trail_of_Cedars,2023-07-05 08:09:00,2023-07-05 08:15:30,390.0,Avalanche_trail,2023-07-05 08:16:00,2023-07-05 12:25:30,14970.0,Trail_of_Cedars,2023-07-05 12:26:00,2023-07-05 12:40:00,840.0,Avalanche_parking,2023-07-05 12:44:30,2023-07-05 12:46:30,120.0,,,,,,,,,,,,,,,,,,,,,,,,
'02221,Avalanche_parking,2023-07-05 07:58:54,2023-07-05 08:05:24,390.0,Avalanche_trail,2023-07-05 08:26:09,2023-07-05 11:33:09,11220.0,Trail_of_Cedars,2023-07-05 11:34:09,2023-07-05 11:47:24,795.0,Avalanche_parking,2023-07-05 11:49:24,2023-07-05 12:10:54,1290.0,Shuttle_Avalanche,2023-07-05 11:51:09,2023-07-05 12:09:54,1125.0,Avalanche_parking,2023-07-05 16:32:08,2023-07-05 16:36:38,270.0,Shuttle_Avalanche,2023-07-05 16:32:38,2023-07-05 16:34:38,120.0,,,,,,,,,,,,,,,,,,,,
'02231,Avalanche_parking,2023-07-05 07:45:43,2023-07-05 08:07:13,1230.0,Shuttle_Avalanche,2023-07-05 07:55:28,2023-07-05 08:06:43,675.0,Trail_of_Cedars,2023-07-05 08:08:28,2023-07-05 12:39:58,1260.0,Avalanche_parking,2023-07-05 12:42:58,2023-07-05 12:47:58,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02271,Avalanche_parking,2023-07-05 17:04:06,2023-07-05 17:15:51,705.0,Shuttle_Avalanche,2023-07-05 17:04:21,2023-07-05 17:13:36,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02281,Trail_of_Cedars,2023-07-05 07:53:02,2023-07-05 08:09:47,1005.0,Avalanche_trail,2023-07-05 08:10:17,2023-07-05 12:10:02,14385.0,Trail_of_Cedars,2023-07-05 12:10:32,2023-07-05 12:46:47,1935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02291,Avalanche_parking,2023-07-05 17:04:09,2023-07-05 17:15:39,690.0,Shuttle_Avalanche,2023-07-05 17:04:39,2023-07-05 17:13:39,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02421,Avalanche_parking,2023-07-05 10:08:19,2023-07-05 10:11:04,165.0,Trail_of_Cedars,2023-07-05 10:12:49,2023-07-05 10:31:49,1140.0,Avalanche_trail,2023-07-05 10:32:04,2023-07-05 14:20:49,13725.0,Trail_of_Cedars,2023-07-05 14:21:49,2023-07-05 14:33:49,720.0,Avalanche_parking,2023-07-05 14:37:49,2023-07-05 14:46:04,495.0,Shuttle_Avalanche,2023-07-05 14:38:04,2023-07-05 14:42:04,240.0,,,,,,,,,,,,,,,,,,,,,,,,
'02441,Trail_of_Cedars,2023-07-05 09:17:09,2023-07-05 13:01:24,13455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02461,Avalanche_parking,2023-07-05 14:18:52,2023-07-05 15:27:22,4110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
