id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9
'02011,Red_rock,2023-07-05 11:36:32,2023-07-05 11:48:32,645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02031,Many_glacier_trail,2023-07-05 13:10:28,2023-07-05 15:16:00,7532.0,Lunch_creek_parking,2023-07-05 16:36:40,2023-07-05 16:52:25,945.0,Moose_country,2023-07-05 17:53:30,2023-07-05 18:00:15,405.0,,,,,,,,,,,,,,,,,,,,,,,,
'02081,Red_rock,2023-07-05 08:45:27,2023-07-05 08:55:57,630.0,Big_bend,2023-07-05 09:51:27,2023-07-05 10:02:27,660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02091,Moose_country,2023-07-05 08:49:17,2023-07-05 08:59:32,480.0,Big_bend,2023-07-05 14:05:32,2023-07-05 14:08:02,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02111,Moose_country,2023-07-05 08:49:13,2023-07-05 08:59:43,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02141,Red_rock,2023-07-05 13:33:50,2023-07-05 13:51:20,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02161,Moose_country,2023-07-05 09:30:11,2023-07-05 10:26:47,3396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02181,Wild_goose_island,2023-07-05 11:43:54,2023-07-05 11:50:09,375.0,Many_glacier_trail,2023-07-05 12:38:24,2023-07-05 14:52:45,8061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02201,Big_bend,2023-07-05 14:27:59,2023-07-05 14:34:29,390.0,Lunch_creek,2023-07-05 15:08:29,2023-07-05 15:10:29,120.0,Wild_goose_island,2023-07-05 16:43:59,2023-07-05 16:53:14,555.0,,,,,,,,,,,,,,,,,,,,,,,,
'02241,Many_glacier_trail,2023-07-05 17:26:39,2023-07-05 20:20:24,10425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02281,Big_bend,2023-07-05 13:27:02,2023-07-05 13:32:32,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02301,Big_bend,2023-07-05 09:31:10,2023-07-05 09:34:10,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,Oberlin_bend,2023-07-05 10:28:14,2023-07-05 10:42:14,840.0,Lunch_creek_parking,2023-07-05 11:39:29,2023-07-05 12:06:59,870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02351,Wild_goose_island,2023-07-05 12:51:32,2023-07-05 12:57:17,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02431,Big_bend,2023-07-05 14:51:19,2023-07-05 14:57:34,375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02441,Moose_country,2023-07-05 09:05:54,2023-07-05 09:09:54,240.0,Big_bend,2023-07-05 15:19:54,2023-07-05 15:23:24,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02451,Lunch_creek_parking,2023-07-05 09:15:23,2023-07-05 09:34:08,1125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02471,Moose_country,2023-07-05 09:45:35,2023-07-05 09:57:35,300.0,Red_rock,2023-07-05 15:54:05,2023-07-05 16:07:05,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02481,Oberlin_bend,2023-07-05 10:29:26,2023-07-05 10:38:41,539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02501,Big_bend,2023-07-05 08:44:16,2023-07-05 08:50:46,390.0,Siyeh_bend_trail,2023-07-05 09:26:01,2023-07-05 16:34:31,23280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03131,Siyeh_bend_trail,2023-07-05 10:43:34,2023-07-05 11:55:19,4305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03191,Many_glacier_trail,2023-07-06 13:31:36,2023-07-06 19:21:16,20980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'03311,Lunch_creek_parking,2023-07-05 08:16:51,2023-07-05 08:19:21,150.0,Many_glacier_trail,2023-07-05 12:38:36,2023-07-06 01:08:34,44998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'0355,Red_rock,2023-07-12 19:13:24,2023-07-12 19:26:39,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'04301,Big_bend,2023-07-05 09:31:10,2023-07-05 09:34:10,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05011,Big_bend,2023-07-10 10:53:47,2023-07-10 11:12:02,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05071,Big_bend,2023-07-10 11:01:59,2023-07-10 11:31:44,1020.0,Moose_country,2023-07-10 17:56:14,2023-07-10 18:02:14,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05081,Many_glacier_trail,2023-07-10 15:27:38,2023-07-10 16:09:23,2505.0,Red_rock,2023-07-10 17:25:28,2023-07-10 17:34:28,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05121,Moose_country,2023-07-10 12:40:43,2023-07-10 12:43:28,165.0,Red_rock,2023-07-10 12:57:13,2023-07-10 13:23:28,1575.0,Big_bend,2023-07-10 14:04:13,2023-07-10 14:07:58,225.0,,,,,,,,,,,,,,,,,,,,,,,,
'05141,Moose_country,2023-07-10 11:43:41,2023-07-10 11:48:41,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05171,Moose_country,2023-07-10 10:10:38,2023-07-10 10:23:53,795.0,Big_bend,2023-07-10 12:05:23,2023-07-10 12:07:23,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05221,Big_bend,2023-07-11 12:57:31,2023-07-11 13:24:14,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05231,Moose_country,2023-07-10 09:11:52,2023-07-10 09:21:07,555.0,Oberlin_bend,2023-07-10 10:33:52,2023-07-10 10:55:07,1275.0,Many_glacier_trail,2023-07-10 14:04:37,2023-07-10 15:50:07,6330.0,,,,,,,,,,,,,,,,,,,,,,,,
'05251,Oberlin_bend,2023-07-10 09:55:46,2023-07-10 10:18:47,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
