Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')","[""'01031""]",1,[10874.0],['2023-07-02 11:50:55'],['2023-07-02 16:35:41'],[284.76666666666665]
"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Rising_sun_boat_dock', 'Sun_point_parking', 'Baring_falls_trail', 'Shuttle_Sunrift_gorge', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Avalanche_parking')","[""'01061""]",1,[13133.0],['2023-07-02 11:21:43'],['2023-07-02 18:30:55'],[429.2]
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Loop', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge')","[""'01241""]",1,[11566.0],['2023-07-02 12:05:23'],['2023-07-02 17:11:19'],[305.93333333333334]
"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC_parking', 'Apgar_VC')","[""'01341""]",1,[14114.0],['2023-07-02 12:05:19'],['2023-07-02 23:34:09'],[688.8333333333334]
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Apgar_VC_parking', 'Apgar_village')","[""'01371""]",1,[61049.0],['2023-07-02 12:05:35'],['2023-07-03 05:44:55'],[1059.3333333333333]
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC_parking', 'Apgar_VC', 'Apgar_VC_parking')","[""'01401""]",1,[28811.0],['2023-07-02 13:29:18'],['2023-07-03 05:49:52'],[980.5666666666667]
"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC')","[""'01501""]",1,[32577.0],['2023-07-02 12:46:00'],['2023-07-03 05:33:02'],[1007.0333333333333]
"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC', 'Apgar_VC_parking', 'Apgar_VC')","[""'01511""]",1,[26379.0],['2023-07-02 12:05:23'],['2023-07-03 04:17:02'],[971.65]
"('Logan_pass_parking', 'Jackson_glac_overlook', 'Red_rock', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')","[""'02011""]",1,[3447.0],['2023-07-05 09:25:39'],['2023-07-05 12:45:07'],[199.46666666666667]
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Loop', 'Logan_pass_parking')","[""'02021""]",1,[33617.0],['2023-07-05 09:12:16'],['2023-07-05 19:06:36'],[594.3333333333334]
"('Lake_macdonald_lodge', 'Logan_pass_parking', 'Logan_pass_VC', 'Logan_pass_parking', 'Jackson_glac_overlook', 'Gunsight_pass_trailhead', 'Rising_sun', 'Many_glacier_trail', 'Rising_sun', 'Sun_point_parking', 'Lunch_creek_parking', 'Moose_country', 'Lake_macdonald_lodge')","[""'02031""]",1,[18348.0],['2023-07-05 07:54:28'],['2023-07-05 18:17:24'],[622.9333333333333]
"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Apgar_village', 'Apgar_VC_parking', 'Apgar_VC')","[""'02061""]",1,[26942.0],['2023-07-05 09:14:40'],['2023-07-05 19:02:40'],[588.0]
"('Apgar_VC_parking', 'Red_rock', 'Big_bend', 'Logan_pass_parking', 'Sun_point_parking', 'St_mary_VC_parking')","[""'02081""]",1,[12705.0],['2023-07-05 07:17:12'],['2023-07-05 14:27:57'],[430.75]
