Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald')","[""'01031"", ""'11331"", ""'15091"", ""'15101"", ""'21191"", ""'23141"", ""'24481""]",7,"[10874.0, 20251.0, 24679.0, 20475.0, 23670.0, 16259.0, 24612.0]","['2023-07-02 11:50:55', '2023-07-20 10:18:23', '2023-07-27 10:34:00', '2023-07-27 10:33:54', '2023-08-03 08:26:39', '2023-08-06 09:58:47', '2023-08-07 09:35:12']","['2023-07-02 16:35:41', '2023-07-20 16:47:53', '2023-07-27 18:17:34', '2023-07-27 17:03:39', '2023-08-03 16:05:24', '2023-08-06 16:46:32', '2023-08-07 17:39:03']","[284.76666666666665, 389.5, 463.56666666666666, 389.75, 458.75, 407.75, 483.85]"
"('LakeMcDonald', 'Avalanche', 'Logan', 'RisingSun', 'SunPoint', 'Waterfalls', 'Logan', 'Loop', 'Avalanche')","[""'01061""]",1,[13133.0],['2023-07-02 11:21:43'],['2023-07-02 18:30:55'],[429.2]
"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')","[""'01241"", ""'24441""]",2,"[11566.0, 22830.0]","['2023-07-02 12:05:23', '2023-08-07 09:35:06']","['2023-07-02 17:11:19', '2023-08-07 17:03:38']","[305.93333333333334, 448.53333333333336]"
"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'01341"", ""'01501"", ""'15501""]",3,"[14114.0, 32577.0, 22532.0]","['2023-07-02 12:05:19', '2023-07-02 12:46:00', '2023-07-27 11:37:02']","['2023-07-02 23:34:09', '2023-07-03 05:33:02', '2023-07-28 02:18:19']","[688.8333333333334, 1007.0333333333333, 881.2833333333333]"
"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'01371"", ""'01401"", ""'01511"", ""'11111"", ""'11421"", ""'15271"", ""'23041""]",7,"[61049.0, 28811.0, 26379.0, 41333.0, 16260.0, 27248.0, 22094.0]","['2023-07-02 12:05:35', '2023-07-02 13:29:18', '2023-07-02 12:05:23', '2023-07-20 11:29:21', '2023-07-20 10:20:02', '2023-07-27 12:15:22', '2023-08-06 08:57:27']","['2023-07-03 05:44:55', '2023-07-03 05:49:52', '2023-07-03 04:17:02', '2023-07-21 03:00:16', '2023-07-20 18:40:38', '2023-07-28 00:21:21', '2023-08-06 23:47:50']","[1059.3333333333333, 980.5666666666667, 971.65, 930.9166666666666, 500.6, 725.9833333333333, 890.3833333333333]"
"('Logan', 'Waterfalls', 'LakeMcDonald')","[""'02011""]",1,[2802.0],['2023-07-05 09:25:39'],['2023-07-05 12:45:07'],[199.46666666666667]
"('Logan', 'Loop', 'Logan')","[""'02021""]",1,[33617.0],['2023-07-05 09:12:16'],['2023-07-05 19:06:36'],[594.3333333333334]
"('LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'LakeMcDonald')","[""'02031""]",1,[9286.0],['2023-07-05 07:54:28'],['2023-07-05 18:17:24'],[622.9333333333333]
"('Avalanche', 'Apgar')","[""'02061"", ""'02211"", ""'02231"", ""'02281"", ""'02531"", ""'02541"", ""'05211"", ""'05311"", ""'05401"", ""'09291""]",10,"[26942.0, 20580.0, 6375.0, 18090.0, 7980.0, 19922.0, 20580.0, 46690.0, 3842.0, 2521.0]","['2023-07-05 09:14:40', '2023-07-05 07:56:45', '2023-07-05 07:45:43', '2023-07-05 07:53:02', '2023-07-05 08:15:22', '2023-07-05 08:11:34', '2023-07-05 07:56:45', '2023-07-10 07:53:46', '2023-07-10 08:50:55', '2023-07-16 09:35:14']","['2023-07-05 19:02:40', '2023-07-05 14:09:45', '2023-07-05 16:49:43', '2023-07-05 15:25:17', '2023-07-06 01:09:49', '2023-07-05 16:17:36', '2023-07-05 14:09:45', '2023-07-11 01:25:11', '2023-07-10 21:04:38', '2023-07-16 10:54:14']","[588.0, 373.0, 544.0, 452.25, 1014.45, 486.03333333333336, 373.0, 1051.4166666666667, 733.7166666666667, 79.0]"
"('Apgar', 'Logan', 'SunPoint', 'StMary')","[""'02081""]",1,[11415.0],['2023-07-05 07:17:12'],['2023-07-05 14:27:57'],[430.75]
"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'Logan', 'LakeMcDonald', 'Apgar')","[""'02091"", ""'02111""]",2,"[11715.0, 13200.0]","['2023-07-05 07:44:47', '2023-07-05 07:21:58']","['2023-07-05 15:38:02', '2023-07-05 15:32:43']","[473.25, 490.75]"
"('Apgar', 'Logan', 'StMary')","[""'02101""]",1,[5940.0],['2023-07-05 08:07:35'],['2023-07-05 23:22:02'],[914.45]
