Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'01031"", ""'01341"", ""'01501"", ""'11331"", ""'11411"", ""'13381"", ""'15091"", ""'15501"", ""'15532"", ""'19041"", ""'19241"", ""'19311"", ""'19331"", ""'19461"", ""'21381"", ""'23011"", ""'23141"", ""'23441"", ""'24481"", ""'24541""]",20,"[1020.0, 1485.0, 2790.0, 7350.0, 3270.0, 1982.0, 7170.0, 4020.0, 975.0, 12107.0, 2155.0, 2026.0, 6121.0, 2490.0, 6090.0, 5985.0, 5835.0, 3074.0, 10182.0, 1514.0]","['2023-07-02 12:03:25', '2023-07-02 12:20:44', '2023-07-02 12:59:15', '2023-07-20 10:34:08', '2023-07-20 13:22:16', '2023-07-24 15:09:23', '2023-07-27 10:50:15', '2023-07-27 11:53:02', '2023-07-27 11:52:47', '2023-08-01 10:01:08', '2023-08-01 10:34:22', '2023-08-01 11:05:08', '2023-08-01 11:16:48', '2023-08-01 10:34:17', '2023-08-03 09:40:10', '2023-08-06 09:40:57', '2023-08-06 10:15:02', '2023-08-06 12:49:20', '2023-08-07 09:51:27', '2023-08-07 09:19:40']","['2023-07-02 16:21:41', '2023-07-02 17:02:44', '2023-07-02 17:02:30', '2023-07-20 16:29:23', '2023-07-20 17:52:31', '2023-07-24 16:40:14', '2023-07-27 16:22:15', '2023-07-27 17:14:17', '2023-07-27 18:17:32', '2023-08-01 19:33:54', '2023-08-01 13:15:26', '2023-08-01 18:00:27', '2023-08-01 18:02:17', '2023-08-01 10:58:47', '2023-08-03 14:40:22', '2023-08-06 14:51:12', '2023-08-06 16:10:32', '2023-08-06 13:17:35', '2023-08-07 17:24:48', '2023-08-07 16:49:19']","[258.26666666666665, 282.0, 243.25, 355.25, 270.25, 90.85, 332.0, 321.25, 384.75, 572.7666666666667, 161.06666666666666, 415.31666666666666, 405.48333333333335, 24.5, 300.2, 310.25, 355.5, 28.25, 453.35, 449.65]"
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking')","[""'01061"", ""'15251"", ""'25231""]",3,"[831.0, 4125.0, 811.0]","['2023-07-02 11:34:01', '2023-07-27 10:17:57', '2023-08-08 13:35:42']","['2023-07-02 18:30:55', '2023-07-27 16:10:13', '2023-08-08 13:51:58']","[416.9, 352.26666666666665, 16.266666666666666]"
"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'01241"", ""'05401""]",2,"[4335.0, 3720.0]","['2023-07-02 12:20:08', '2023-07-10 08:50:55']","['2023-07-02 16:58:04', '2023-07-10 13:37:10']","[277.93333333333334, 286.25]"
"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'01371"", ""'02421""]",2,"[14925.0, 16485.0]","['2023-07-02 12:20:59', '2023-07-05 10:08:19']","['2023-07-02 16:29:28', '2023-07-05 14:46:04']","[248.48333333333332, 277.75]"
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'01401"", ""'01511"", ""'02521"", ""'09501"", ""'11111"", ""'11421"", ""'1321"", ""'15261"", ""'15271"", ""'15411"", ""'15461"", ""'1551"", ""'21341"", ""'21501"", ""'23041"", ""'24171"", ""'25421""]",17,"[13003.0, 4275.0, 15106.0, 9721.0, 20550.0, 15360.0, 2760.0, 13875.0, 17625.0, 18181.0, 10424.0, 16147.0, 11325.0, 10170.0, 21194.0, 13709.0, 18255.0]","['2023-07-02 13:44:18', '2023-07-02 12:19:38', '2023-07-05 09:33:01', '2023-07-16 11:01:17', '2023-07-20 11:45:21', '2023-07-20 10:34:17', '2023-07-02 12:03:12', '2023-07-27 10:50:17', '2023-07-27 12:30:22', '2023-07-27 12:17:40', '2023-07-27 11:49:21', '2023-07-27 11:53:06', '2023-08-03 09:12:25', '2023-08-03 10:08:10', '2023-08-06 09:09:12', '2023-08-07 09:42:54', '2023-08-08 11:38:47']","['2023-07-02 16:58:18', '2023-07-02 15:39:38', '2023-07-05 13:41:46', '2023-07-16 14:12:26', '2023-07-20 16:28:21', '2023-07-20 14:27:17', '2023-07-02 12:45:57', '2023-07-27 14:36:02', '2023-07-27 17:14:22', '2023-07-27 16:48:55', '2023-07-27 14:36:06', '2023-07-27 15:42:27', '2023-08-03 12:20:25', '2023-08-03 12:43:40', '2023-08-06 14:51:12', '2023-08-07 13:20:09', '2023-08-08 16:42:31']","[194.0, 200.0, 248.75, 191.15, 283.0, 233.0, 42.75, 225.75, 284.0, 271.25, 166.75, 229.35, 188.0, 155.5, 342.0, 217.25, 303.73333333333335]"
"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars')","[""'02061"", ""'02281""]",2,"[14745.0, 17325.0]","['2023-07-05 09:14:40', '2023-07-05 07:53:02']","['2023-07-05 13:29:10', '2023-07-05 12:46:47']","[254.5, 293.75]"
"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')","[""'02171"", ""'16161"", ""'17141"", ""'17161""]",4,"[22439.0, 10560.0, 9810.0, 10560.0]","['2023-07-05 08:22:44', '2023-07-30 18:10:10', '2023-07-31 18:04:47', '2023-07-30 18:10:10']","['2023-07-05 15:19:14', '2023-07-30 21:11:10', '2023-07-31 20:52:17', '2023-07-30 21:11:10']","[416.5, 181.0, 167.5, 181.0]"
"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')","[""'02201""]",1,[16560.0],['2023-07-05 08:13:14'],['2023-07-05 13:00:29'],[287.25]
"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')","[""'02211"", ""'05211"", ""'06291"", ""'09341"", ""'11531"", ""'24041"", ""'25241""]",7,"[17490.0, 17490.0, 12121.0, 11701.0, 10485.0, 9360.0, 13515.0]","['2023-07-05 07:56:45', '2023-07-05 07:56:45', '2023-07-11 11:48:51', '2023-07-16 10:03:33', '2023-07-20 10:34:11', '2023-08-07 08:53:12', '2023-08-08 13:07:51']","['2023-07-05 12:46:30', '2023-07-05 12:46:30', '2023-07-11 15:15:21', '2023-07-16 13:09:48', '2023-07-20 13:30:56', '2023-08-07 11:40:12', '2023-08-08 16:56:51']","[289.75, 289.75, 206.5, 186.25, 176.75, 167.0, 229.0]"
"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')","[""'02221""]",1,[15210.0],['2023-07-05 07:58:54'],['2023-07-05 16:36:38'],[517.7333333333333]
