Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Red_rock',)","[""'02011"", ""'02141"", ""'0355"", ""'05461"", ""'06181"", ""'06521"", ""'07321"", ""'07451"", ""'09341"", ""'10081"", ""'16221"", ""'25431""]",12,"[645.0, 1050.0, 795.0, 1080.0, 630.0, 720.0, 1050.0, 419.0, 450.0, 1320.0, 1080.0, 225.0]","['2023-07-05 11:36:32', '2023-07-05 13:33:50', '2023-07-12 19:13:24', '2023-07-10 13:04:47', '2023-07-11 13:06:19', '2023-07-11 16:16:32', '2023-07-12 16:55:07', '2023-07-12 18:39:40', '2023-07-16 09:52:48', '2023-07-18 18:15:08', '2023-07-30 20:05:00', '2023-08-08 13:26:04']","['2023-07-05 11:48:32', '2023-07-05 13:51:20', '2023-07-12 19:26:39', '2023-07-10 13:40:02', '2023-07-11 13:16:49', '2023-07-11 16:28:32', '2023-07-12 17:12:37', '2023-07-12 18:56:27', '2023-07-16 10:00:18', '2023-07-18 18:37:08', '2023-07-30 20:23:00', '2023-08-08 13:29:49']","[12.0, 17.5, 13.25, 35.25, 10.5, 12.0, 17.5, 16.783333333333335, 7.5, 22.0, 18.0, 3.75]"
"('Many_glacier_trail', 'Lunch_creek_parking', 'Moose_country')","[""'02031""]",1,[8882.0],['2023-07-05 13:10:28'],['2023-07-05 18:00:15'],[289.78333333333336]
"('Red_rock', 'Big_bend')","[""'02081""]",1,[1290.0],['2023-07-05 08:45:27'],['2023-07-05 10:02:27'],[77.0]
"('Moose_country', 'Big_bend')","[""'02091"", ""'02441"", ""'05171"", ""'06381"", ""'10231""]",5,"[630.0, 450.0, 915.0, 480.0, 1170.0]","['2023-07-05 08:49:17', '2023-07-05 09:05:54', '2023-07-10 10:10:38', '2023-07-11 11:51:51', '2023-07-18 17:58:04']","['2023-07-05 14:08:02', '2023-07-05 15:23:24', '2023-07-10 12:07:23', '2023-07-11 12:45:51', '2023-07-18 19:03:49']","[318.75, 377.5, 116.75, 54.0, 65.75]"
"('Moose_country',)","[""'02111"", ""'02161"", ""'05141"", ""'06421"", ""'14411"", ""'14521"", ""'25141"", ""'25241""]",8,"[510.0, 3396.0, 300.0, 690.0, 286.0, 135.0, 194.0, 360.0]","['2023-07-05 08:49:13', '2023-07-05 09:30:11', '2023-07-10 11:43:41', '2023-07-11 11:54:02', '2023-07-26 18:01:15', '2023-07-26 21:03:59', '2023-08-08 11:38:08', '2023-08-08 17:00:21']","['2023-07-05 08:59:43', '2023-07-05 10:26:47', '2023-07-10 11:48:41', '2023-07-11 12:05:32', '2023-07-26 18:09:31', '2023-07-26 21:06:14', '2023-08-08 11:41:22', '2023-08-08 17:06:21']","[10.5, 56.6, 5.0, 11.5, 8.266666666666667, 2.25, 3.2333333333333334, 6.0]"
"('Wild_goose_island', 'Many_glacier_trail')","[""'02181""]",1,[8436.0],['2023-07-05 11:43:54'],['2023-07-05 14:52:45'],[188.85]
"('Big_bend', 'Lunch_creek', 'Wild_goose_island')","[""'02201""]",1,[1065.0],['2023-07-05 14:27:59'],['2023-07-05 16:53:14'],[145.25]
"('Many_glacier_trail',)","[""'02241"", ""'03191"", ""'05361"", ""'05441"", ""'16321""]",5,"[10425.0, 20980.0, 2205.0, 6420.0, 2760.0]","['2023-07-05 17:26:39', '2023-07-06 13:31:36', '2023-07-10 12:19:31', '2023-07-10 12:19:35', '2023-07-30 18:47:08']","['2023-07-05 20:20:24', '2023-07-06 19:21:16', '2023-07-10 12:56:16', '2023-07-10 14:06:35', '2023-07-30 19:33:08']","[173.75, 349.6666666666667, 36.75, 107.0, 46.0]"
"('Big_bend',)","[""'02281"", ""'02301"", ""'02431"", ""'04301"", ""'05011"", ""'05221"", ""'10471"", ""'14541"", ""'15321"", ""'16441"", ""'17141"", ""'17461"", ""'20201"", ""'20241"", ""'25011"", ""'25201"", ""'25391""]",17,"[330.0, 180.0, 375.0, 180.0, 795.0, 300.0, 405.0, 435.0, 120.0, 165.0, 450.0, 120.0, 1230.0, 480.0, 255.0, 765.0, 315.0]","['2023-07-05 13:27:02', '2023-07-05 09:31:10', '2023-07-05 14:51:19', '2023-07-05 09:31:10', '2023-07-10 10:53:47', '2023-07-11 12:57:31', '2023-07-18 21:49:24', '2023-07-26 18:53:36', '2023-07-27 14:59:00', '2023-07-30 17:56:13', '2023-07-31 17:30:32', '2023-07-31 17:37:47', '2023-08-02 13:40:33', '2023-08-02 12:51:47', '2023-08-08 13:44:22', '2023-08-08 12:32:14', '2023-08-08 14:05:48']","['2023-07-05 13:32:32', '2023-07-05 09:34:10', '2023-07-05 14:57:34', '2023-07-05 09:34:10', '2023-07-10 11:12:02', '2023-07-11 13:24:14', '2023-07-18 21:57:39', '2023-07-26 19:00:51', '2023-07-27 15:01:00', '2023-07-30 17:58:58', '2023-07-31 17:38:02', '2023-07-31 17:39:47', '2023-08-02 14:01:03', '2023-08-02 12:59:47', '2023-08-08 13:48:52', '2023-08-08 12:44:59', '2023-08-08 14:11:03']","[5.5, 3.0, 6.25, 3.0, 18.25, 26.716666666666665, 8.25, 7.25, 2.0, 2.75, 7.5, 2.0, 20.5, 8.0, 4.5, 12.75, 5.25]"
"('Oberlin_bend', 'Lunch_creek_parking')","[""'02331"", ""'07341""]",2,"[1710.0, 1470.0]","['2023-07-05 10:28:14', '2023-07-12 16:14:43']","['2023-07-05 12:06:59', '2023-07-12 16:45:58']","[98.75, 31.25]"
"('Wild_goose_island',)","[""'02351"", ""'06061"", ""'06131"", ""'06351"", ""'07271"", ""'14321"", ""'17081"", ""'17511""]",8,"[255.0, 273.0, 270.0, 1035.0, 285.0, 120.0, 480.0, 165.0]","['2023-07-05 12:51:32', '2023-07-11 12:20:19', '2023-07-11 13:42:15', '2023-07-11 12:47:29', '2023-07-12 17:46:04', '2023-07-26 17:39:34', '2023-07-31 15:49:30', '2023-07-31 15:49:06']","['2023-07-05 12:57:17', '2023-07-11 12:24:52', '2023-07-11 13:46:45', '2023-07-11 13:04:44', '2023-07-12 17:51:19', '2023-07-26 17:41:34', '2023-07-31 15:57:30', '2023-07-31 15:51:51']","[5.75, 4.55, 4.5, 17.25, 5.25, 2.0, 8.0, 2.75]"
"('Lunch_creek_parking',)","[""'02451"", ""'05451"", ""'09381"", ""'16411"", ""'25171""]",5,"[1125.0, 1125.0, 121.0, 135.0, 1515.0]","['2023-07-05 09:15:23', '2023-07-05 09:15:23', '2023-07-16 10:03:58', '2023-07-30 19:04:29', '2023-08-08 13:47:56']","['2023-07-05 09:34:08', '2023-07-05 09:34:08', '2023-07-16 10:05:59', '2023-07-30 19:06:44', '2023-08-08 19:48:58']","[18.75, 18.75, 2.0166666666666666, 2.25, 361.03333333333336]"
