Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Baring_falls_trail', 'Shuttle_Sunrift_gorge')","[""'01061""]",1,[1802.0],['2023-07-02 16:38:09'],['2023-07-02 17:12:10'],[34.016666666666666]
"('Jackson_glac_overlook',)","[""'02011"", ""'02031"", ""'02091"", ""'02111"", ""'02161"", ""'02181"", ""'02201"", ""'02441"", ""'05461"", ""'06261"", ""'07301"", ""'07351"", ""'09351"", ""'14011"", ""'14101"", ""'14161"", ""'14171"", ""'14181"", ""'14431"", ""'14541"", ""'17081"", ""'17381"", ""'17531"", ""'20041"", ""'20071"", ""'20391""]",26,"[120.0, 180.0, 570.0, 645.0, 315.0, 540.0, 405.0, 735.0, 420.0, 5101.0, 465.0, 255.0, 840.0, 345.0, 345.0, 315.0, 540.0, 630.0, 540.0, 375.0, 405.0, 375.0, 390.0, 1080.0, 585.0, 135.0]","['2023-07-05 09:45:39', '2023-07-05 11:38:13', '2023-07-05 10:53:32', '2023-07-05 10:53:27', '2023-07-05 11:23:23', '2023-07-05 11:17:09', '2023-07-05 15:30:59', '2023-07-05 16:53:09', '2023-07-10 12:11:02', '2023-07-11 15:41:02', '2023-07-12 17:26:55', '2023-07-12 16:54:38', '2023-07-16 08:39:52', '2023-07-26 17:14:40', '2023-07-26 16:11:17', '2023-07-26 17:12:27', '2023-07-26 18:23:18', '2023-07-26 18:18:00', '2023-07-26 16:29:37', '2023-07-26 16:47:17', '2023-07-31 18:35:30', '2023-07-31 16:16:43', '2023-07-31 17:59:40', '2023-08-02 11:43:36', '2023-08-02 11:38:32', '2023-08-02 16:02:17']","['2023-07-05 09:47:39', '2023-07-05 11:41:13', '2023-07-05 11:03:02', '2023-07-05 11:05:12', '2023-07-05 11:28:38', '2023-07-05 11:26:09', '2023-07-05 15:37:44', '2023-07-05 17:05:24', '2023-07-10 12:19:47', '2023-07-11 17:06:03', '2023-07-12 17:34:55', '2023-07-12 16:58:53', '2023-07-16 09:15:37', '2023-07-26 17:20:25', '2023-07-26 16:17:02', '2023-07-26 17:17:42', '2023-07-26 18:32:18', '2023-07-26 18:28:30', '2023-07-26 16:38:37', '2023-07-26 16:54:32', '2023-07-31 18:42:15', '2023-07-31 16:22:58', '2023-07-31 18:06:10', '2023-08-02 12:01:36', '2023-08-02 11:48:17', '2023-08-02 16:04:32']","[2.0, 3.0, 9.5, 11.75, 5.25, 9.0, 6.75, 12.25, 8.75, 85.01666666666667, 8.0, 4.25, 35.75, 5.75, 5.75, 5.25, 9.0, 10.5, 9.0, 7.25, 6.75, 6.25, 6.5, 18.0, 9.75, 2.25]"
"('Viriginia_falls_trail', 'StMary_falls_trail')","[""'02191"", ""'19011""]",2,"[3105.0, 2402.0]","['2023-07-05 15:02:58', '2023-08-01 13:10:20']","['2023-07-05 16:21:43', '2023-08-01 14:21:50']","[78.75, 71.5]"
"('Baring_falls_trail',)","[""'02241"", ""'02551"", ""'06181"", ""'17441""]",4,"[975.0, 795.0, 1755.0, 960.0]","['2023-07-05 11:38:24', '2023-07-05 13:46:24', '2023-07-11 15:16:33', '2023-07-31 17:36:17']","['2023-07-05 11:54:39', '2023-07-05 13:59:39', '2023-07-11 15:46:33', '2023-07-31 17:52:17']","[16.25, 13.25, 30.0, 16.0]"
"('Baring_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Baring_falls_parking')","[""'02321""]",1,[3944.0],['2023-07-05 09:45:33'],['2023-07-05 13:10:33'],[205.0]
"('Baring_falls_parking',)","[""'02331"", ""'17501""]",2,"[3330.0, 4125.0]","['2023-07-05 12:45:59', '2023-07-31 16:51:47']","['2023-07-05 13:44:59', '2023-07-31 18:16:17']","[59.0, 84.5]"
"('Jackson_glac_overlook', 'Baring_falls_parking', 'Baring_falls_trail')","[""'02351""]",1,[2101.0],['2023-07-05 11:40:02'],['2023-07-05 12:41:47'],[61.75]
"('Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking')","[""'02471""]",1,[5730.0],['2023-07-05 12:27:50'],['2023-07-05 14:58:05'],[150.25]
"('Shuttle_St_mary_falls', 'Jackson_glac_overlook', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'03031""]",1,[8655.0],['2023-07-06 12:40:11'],['2023-07-06 18:37:41'],[357.5]
"('StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'03161"", ""'23201""]",2,"[6480.0, 4800.0]","['2023-07-06 10:58:15', '2023-08-06 13:08:05']","['2023-07-06 13:06:30', '2023-08-06 14:38:20']","[128.25, 90.25]"
"('Shuttle_St_mary_falls', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'03201""]",1,[8055.0],['2023-07-06 12:55:39'],['2023-07-06 16:09:23'],[193.73333333333332]
"('Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'03411""]",1,[4979.0],['2023-07-06 13:28:31'],['2023-07-06 14:57:01'],[88.5]
"('Shuttle_St_mary_falls', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')","[""'03471"", ""'22531"", ""'23071""]",3,"[7371.0, 6330.0, 7890.0]","['2023-07-06 13:30:37', '2023-08-06 10:15:43', '2023-08-06 10:07:54']","['2023-07-06 16:03:28', '2023-08-06 12:30:28', '2023-08-06 12:51:24']","[152.85, 134.75, 163.5]"
"('St_mary_falls_parking', 'Baring_falls_parking', 'Baring_falls_trail', 'StMary_falls_trail', 'Viriginia_falls_trail', 'Baring_falls_trail', 'Baring_falls_parking')","[""'05131""]",1,[7245.0],['2023-07-10 09:44:34'],['2023-07-10 15:01:05'],[316.51666666666665]
"('St_mary_falls_parking', 'Viriginia_falls_trail')","[""'05251""]",1,[2954.0],['2023-07-10 13:12:47'],['2023-07-10 14:31:17'],[78.5]
"('Baring_falls_to_sun_point', 'Baring_falls_trail')","[""'05341""]",1,[794.0],['2023-07-10 12:27:48'],['2023-07-10 12:51:48'],[24.0]
"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Jackson_glac_overlook')","[""'05511""]",1,[10364.0],['2023-07-10 10:47:08'],['2023-07-10 14:25:53'],[218.75]
"('Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook')","[""'05541""]",1,[2381.0],['2023-07-10 11:41:12'],['2023-07-10 14:31:21'],[170.15]
"('St_mary_falls_parking',)","[""'07091"", ""'16341""]",2,"[390.0, 330.0]","['2023-07-12 16:10:37', '2023-07-30 20:47:08']","['2023-07-12 16:17:07', '2023-07-30 20:52:38']","[6.5, 5.5]"
"('St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking')","[""'07261""]",1,[3511.0],['2023-07-12 17:40:50'],['2023-07-12 18:48:35'],[67.75]
"('Baring_falls_to_sun_point', 'Baring_falls_trail', 'Viriginia_falls_trail', 'Baring_falls_to_sun_point')","[""'07391""]",1,[4409.0],['2023-07-06 12:38:08'],['2023-07-06 15:37:07'],[178.98333333333332]
"('Baring_falls_to_sun_point',)","[""'07441"", ""'20411""]",2,"[930.0, 1170.0]","['2023-07-12 16:16:24', '2023-08-02 12:10:06']","['2023-07-12 16:31:54', '2023-08-02 12:29:51']","[15.5, 19.75]"
"('Baring_falls_to_sun_point', 'StMary_falls_trail')","[""'08231""]",1,[3600.0],['2023-07-14 15:15:38'],['2023-07-14 16:56:53'],[101.25]
"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking')","[""'09071""]",1,[8640.0],['2023-07-16 08:39:32'],['2023-07-16 12:42:32'],[243.0]
"('Baring_falls_parking', 'Jackson_glac_overlook')","[""'09111"", ""'17461""]",2,"[1260.0, 705.0]","['2023-07-16 08:38:35', '2023-07-31 16:22:17']","['2023-07-16 10:50:50', '2023-07-31 17:04:02']","[132.25, 41.75]"
"('St_mary_falls_parking', 'Baring_falls_trail')","[""'09281""]",1,[1680.0],['2023-07-16 08:38:07'],['2023-07-16 10:58:07'],[140.0]
