Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Shuttle_Logan_pass')","[""'01031"", ""'11331"", ""'15091"", ""'23541""]",4,"[10874.0, 20251.0, 24679.0, 8221.0]","['2023-07-02 11:50:55', '2023-07-20 10:18:23', '2023-07-27 10:34:00', '2023-08-06 08:16:16']","['2023-07-02 16:35:41', '2023-07-20 16:47:53', '2023-07-27 18:17:34', '2023-08-06 15:32:20']","[284.76666666666665, 389.5, 463.56666666666666, 436.06666666666666]"
"('Avalanche_parking', 'Baring_falls_trail', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Rising_sun_boat_dock', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Shuttle_Sunrift_gorge', 'Sun_point_parking')","[""'01061""]",1,[13133.0],['2023-07-02 11:21:43'],['2023-07-02 18:30:55'],[429.2]
"('Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Trail_of_Cedars')","[""'01241""]",1,[11566.0],['2023-07-02 12:05:23'],['2023-07-02 17:11:19'],[305.93333333333334]
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop')","[""'01341""]",1,[14114.0],['2023-07-02 12:05:19'],['2023-07-02 23:34:09'],[688.8333333333334]
"('Apgar_VC_parking', 'Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')","[""'01371""]",1,[61049.0],['2023-07-02 12:05:35'],['2023-07-03 05:44:55'],[1059.3333333333333]
"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')","[""'01401"", ""'01511"", ""'02421""]",3,"[28811.0, 26379.0, 19770.0]","['2023-07-02 13:29:18', '2023-07-02 12:05:23', '2023-07-05 08:52:49']","['2023-07-03 05:49:52', '2023-07-03 04:17:02', '2023-07-05 15:30:34']","[980.5666666666667, 971.65, 397.75]"
"('Apgar_VC', 'Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop')","[""'01501""]",1,[32577.0],['2023-07-02 12:46:00'],['2023-07-03 05:33:02'],[1007.0333333333333]
"('Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Red_rock', 'Shuttle_Lake_macdonald')","[""'02011""]",1,[3447.0],['2023-07-05 09:25:39'],['2023-07-05 12:45:07'],[199.46666666666667]
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Loop')","[""'02021""]",1,[33617.0],['2023-07-05 09:12:16'],['2023-07-05 19:06:36'],[594.3333333333334]
"('Gunsight_pass_trailhead', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Lunch_creek_parking', 'Many_glacier_trail', 'Moose_country', 'Rising_sun', 'Sun_point_parking')","[""'02031""]",1,[18348.0],['2023-07-05 07:54:28'],['2023-07-05 18:17:24'],[622.9333333333333]
