Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche', 'LakeMcDonald', 'Logan')","[""'01031"", ""'06111"", ""'06451"", ""'11331"", ""'15091"", ""'15101"", ""'15321"", ""'15441"", ""'21191"", ""'21341"", ""'23141"", ""'23341"", ""'23441"", ""'23541"", ""'24171"", ""'24231"", ""'24481""]",17,"[10874.0, 675.0, 5610.0, 20251.0, 24679.0, 20475.0, 6480.0, 12240.0, 23670.0, 17535.0, 16259.0, 21616.0, 14369.0, 8221.0, 14608.0, 10135.0, 24612.0]","['2023-07-02 11:50:55', '2023-07-11 11:56:32', '2023-07-11 10:49:27', '2023-07-20 10:18:23', '2023-07-27 10:34:00', '2023-07-27 10:33:54', '2023-07-27 12:15:15', '2023-07-27 12:21:35', '2023-08-03 08:26:39', '2023-08-03 08:59:10', '2023-08-06 09:58:47', '2023-08-06 09:40:53', '2023-08-06 08:49:50', '2023-08-06 08:16:16', '2023-08-07 08:58:18', '2023-08-07 09:59:51', '2023-08-07 09:35:12']","['2023-07-02 16:35:41', '2023-07-11 13:56:32', '2023-07-11 13:59:57', '2023-07-20 16:47:53', '2023-07-27 18:17:34', '2023-07-27 17:03:39', '2023-07-27 14:51:30', '2023-07-27 17:03:21', '2023-08-03 16:05:24', '2023-08-03 15:49:10', '2023-08-06 16:46:32', '2023-08-06 16:46:23', '2023-08-06 13:31:20', '2023-08-06 15:32:20', '2023-08-07 13:35:39', '2023-08-07 13:04:47', '2023-08-07 17:39:03']","[284.76666666666665, 120.0, 190.5, 389.5, 463.56666666666666, 389.75, 156.25, 281.76666666666665, 458.75, 410.0, 407.75, 425.5, 281.5, 436.06666666666666, 277.35, 184.93333333333334, 483.85]"
"('Avalanche', 'LakeMcDonald', 'Logan', 'Loop', 'RisingSun', 'SunPoint', 'Waterfalls')","[""'01061""]",1,[13133.0],['2023-07-02 11:21:43'],['2023-07-02 18:30:55'],[429.2]
"('Avalanche', 'LakeMcDonald', 'Logan', 'Loop')","[""'01241"", ""'04051"", ""'05291"", ""'24441""]",4,"[11566.0, 8025.0, 30690.0, 22830.0]","['2023-07-02 12:05:23', '2023-07-07 15:39:45', '2023-07-10 08:18:48', '2023-08-07 09:35:06']","['2023-07-02 17:11:19', '2023-07-07 19:33:15', '2023-07-10 17:03:48', '2023-08-07 17:03:38']","[305.93333333333334, 233.5, 525.0, 448.53333333333336]"
"('Apgar', 'Avalanche', 'LakeMcDonald', 'Logan', 'Loop')","[""'01341"", ""'01501"", ""'02271"", ""'02291"", ""'05141"", ""'15161"", ""'15501"", ""'19041"", ""'23291""]",9,"[14114.0, 32577.0, 30612.0, 32147.0, 10581.0, 31412.0, 22532.0, 47110.0, 32338.0]","['2023-07-02 12:05:19', '2023-07-02 12:46:00', '2023-07-05 07:14:43', '2023-07-05 07:13:58', '2023-07-10 09:48:07', '2023-07-27 10:00:02', '2023-07-27 11:37:02', '2023-08-01 07:48:53', '2023-08-06 07:59:19']","['2023-07-02 23:34:09', '2023-07-03 05:33:02', '2023-07-05 17:29:51', '2023-07-05 23:01:26', '2023-07-10 17:06:28', '2023-07-28 00:03:14', '2023-07-28 02:18:19', '2023-08-02 01:28:00', '2023-08-06 17:58:01']","[688.8333333333334, 1007.0333333333333, 615.1333333333333, 947.4666666666667, 438.35, 843.2, 881.2833333333333, 1059.1166666666666, 598.7]"
"('Apgar', 'Avalanche', 'LakeMcDonald')","[""'01371"", ""'01401"", ""'01511"", ""'02421"", ""'02521"", ""'09151"", ""'09341"", ""'09421"", ""'11111"", ""'11421"", ""'11531"", ""'1321"", ""'15271"", ""'15421"", ""'15461"", ""'16221"", ""'17321"", ""'19521"", ""'21501"", ""'23041"", ""'25431""]",21,"[61049.0, 28811.0, 26379.0, 19770.0, 32835.0, 12390.0, 18901.0, 53874.0, 41333.0, 16260.0, 37854.0, 9642.0, 27248.0, 10245.0, 18774.0, 8055.0, 48214.0, 5795.0, 10785.0, 22094.0, 3600.0]","['2023-07-02 12:05:35', '2023-07-02 13:29:18', '2023-07-02 12:05:23', '2023-07-05 08:52:49', '2023-07-05 08:28:16', '2023-07-16 10:33:50', '2023-07-16 10:03:33', '2023-07-16 10:41:40', '2023-07-20 11:29:21', '2023-07-20 10:20:02', '2023-07-20 09:50:33', '2023-07-02 10:10:30', '2023-07-27 12:15:22', '2023-07-27 11:23:18', '2023-07-27 10:29:14', '2023-07-30 16:59:00', '2023-07-31 19:41:29', '2023-08-01 11:05:05', '2023-08-03 10:08:10', '2023-08-06 08:57:27', '2023-08-08 12:32:49']","['2023-07-03 05:44:55', '2023-07-03 05:49:52', '2023-07-03 04:17:02', '2023-07-05 15:30:34', '2023-07-05 20:34:41', '2023-07-16 14:39:50', '2023-07-16 16:20:48', '2023-07-17 03:28:52', '2023-07-21 03:00:16', '2023-07-20 18:40:38', '2023-07-21 03:44:03', '2023-07-02 13:53:12', '2023-07-28 00:21:21', '2023-07-27 14:54:03', '2023-07-27 20:32:50', '2023-07-30 21:42:15', '2023-08-01 10:06:17', '2023-08-01 15:20:55', '2023-08-03 16:13:15', '2023-08-06 23:47:50', '2023-08-08 14:59:04']","[1059.3333333333333, 980.5666666666667, 971.65, 397.75, 726.4166666666666, 246.0, 377.25, 1007.2, 930.9166666666666, 500.6, 1073.5, 222.7, 725.9833333333333, 210.75, 603.6, 283.25, 864.8, 255.83333333333334, 365.0833333333333, 890.3833333333333, 146.25]"
"('LakeMcDonald', 'Logan', 'Waterfalls')","[""'02011"", ""'16341"", ""'17531"", ""'20071""]",4,"[2802.0, 4680.0, 4260.0, 13410.0]","['2023-07-05 09:25:39', '2023-07-30 18:10:38', '2023-07-31 17:59:40', '2023-08-02 11:38:32']","['2023-07-05 12:45:07', '2023-07-30 20:52:38', '2023-07-31 21:49:10', '2023-08-02 20:33:29']","[199.46666666666667, 162.0, 229.5, 534.95]"
"('Logan', 'Loop')","[""'02021"", ""'02341"", ""'05361"", ""'16501""]",4,"[33617.0, 33105.0, 8130.0, 1335.0]","['2023-07-05 09:12:16', '2023-07-05 09:04:46', '2023-07-10 07:53:31', '2023-07-30 18:27:24']","['2023-07-05 19:06:36', '2023-07-05 18:50:16', '2023-07-10 10:40:46', '2023-07-30 19:25:39']","[594.3333333333334, 585.5, 167.25, 58.25]"
"('LakeMcDonald', 'Logan', 'RisingSun', 'SunPoint', 'Waterfalls')","[""'02031""]",1,[9286.0],['2023-07-05 07:54:28'],['2023-07-05 18:17:24'],[622.9333333333333]
"('Apgar', 'Avalanche')","[""'02061"", ""'02211"", ""'02231"", ""'02281"", ""'02531"", ""'02541"", ""'05211"", ""'05311"", ""'05401"", ""'09291"", ""'16351"", ""'19461"", ""'24041""]",13,"[26942.0, 20580.0, 6375.0, 18090.0, 7980.0, 19922.0, 20580.0, 46690.0, 3842.0, 2521.0, 59965.0, 8405.0, 15615.0]","['2023-07-05 09:14:40', '2023-07-05 07:56:45', '2023-07-05 07:45:43', '2023-07-05 07:53:02', '2023-07-05 08:15:22', '2023-07-05 08:11:34', '2023-07-05 07:56:45', '2023-07-10 07:53:46', '2023-07-10 08:50:55', '2023-07-16 09:35:14', '2023-07-30 17:58:12', '2023-08-01 08:12:57', '2023-08-07 08:04:27']","['2023-07-05 19:02:40', '2023-07-05 14:09:45', '2023-07-05 16:49:43', '2023-07-05 15:25:17', '2023-07-06 01:09:49', '2023-07-05 16:17:36', '2023-07-05 14:09:45', '2023-07-11 01:25:11', '2023-07-10 21:04:38', '2023-07-16 10:54:14', '2023-07-31 11:40:07', '2023-08-01 10:58:47', '2023-08-07 13:50:42']","[588.0, 373.0, 544.0, 452.25, 1014.45, 486.03333333333336, 373.0, 1051.4166666666667, 733.7166666666667, 79.0, 1061.9166666666667, 165.83333333333334, 346.25]"
"('Apgar', 'Logan', 'StMary', 'SunPoint')","[""'02081""]",1,[11415.0],['2023-07-05 07:17:12'],['2023-07-05 14:27:57'],[430.75]
