Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')","[""'01031"", ""'01061"", ""'01241"", ""'01501"", ""'02221"", ""'04051"", ""'05461"", ""'05541"", ""'09381"", ""'11331"", ""'12501"", ""'13381"", ""'15091"", ""'15101"", ""'15501"", ""'19011"", ""'19181"", ""'19311"", ""'19331"", ""'21231"", ""'21341"", ""'21351"", ""'23171"", ""'23541"", ""'24321""]",25,"[9314.0, 9885.0, 6616.0, 7635.0, 10485.0, 5356.0, 6656.0, 7440.0, 6615.0, 12256.0, 7575.0, 10305.0, 10470.0, 10020.0, 10680.0, 8730.0, 4034.0, 2824.0, 4875.0, 10501.0, 5865.0, 8055.0, 9195.0, 4801.0, 8655.0]","['2023-07-02 12:52:25', '2023-07-02 12:29:10', '2023-07-02 13:14:53', '2023-07-02 13:58:30', '2023-07-05 12:50:54', '2023-07-07 16:54:30', '2023-07-10 09:22:51', '2023-07-10 10:07:51', '2023-07-16 09:55:59', '2023-07-20 11:36:53', '2023-07-21 09:02:42', '2023-07-24 09:13:23', '2023-07-27 12:19:15', '2023-07-27 12:09:54', '2023-07-27 12:36:47', '2023-08-01 12:09:05', '2023-08-01 09:08:32', '2023-08-01 12:01:53', '2023-08-01 12:31:48', '2023-08-03 09:54:20', '2023-08-03 13:05:40', '2023-08-03 10:06:42', '2023-08-06 11:27:15', '2023-08-06 09:13:50', '2023-08-07 11:33:04']","['2023-07-02 15:33:25', '2023-07-02 17:47:25', '2023-07-02 15:16:23', '2023-07-02 16:09:00', '2023-07-05 15:46:24', '2023-07-07 18:48:30', '2023-07-10 11:43:17', '2023-07-10 14:14:09', '2023-07-16 12:24:14', '2023-07-20 15:03:23', '2023-07-21 11:23:27', '2023-07-24 17:39:44', '2023-07-27 15:16:15', '2023-07-27 14:56:39', '2023-07-27 15:45:47', '2023-08-01 17:02:05', '2023-08-01 14:30:17', '2023-08-01 17:05:02', '2023-08-01 17:02:02', '2023-08-03 12:46:35', '2023-08-03 14:55:55', '2023-08-03 12:22:12', '2023-08-06 14:47:30', '2023-08-06 14:12:05', '2023-08-07 14:00:04']","[161.0, 318.25, 121.5, 130.5, 175.5, 114.0, 140.43333333333334, 246.3, 148.25, 206.5, 140.75, 506.35, 177.0, 166.75, 189.0, 293.0, 321.75, 303.15, 270.23333333333335, 172.25, 110.25, 135.5, 200.25, 298.25, 147.0]"
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')","[""'01341"", ""'03471"", ""'11411"", ""'12011"", ""'13041"", ""'19241"", ""'21381"", ""'22221"", ""'22401"", ""'23011""]",10,"[7935.0, 7110.0, 8850.0, 13351.0, 5670.0, 3240.0, 8296.0, 2940.0, 21151.0, 10320.0]","['2023-07-02 13:52:29', '2023-07-06 16:19:58', '2023-07-20 14:13:01', '2023-07-21 09:27:09', '2023-07-24 11:54:03', '2023-08-01 11:23:00', '2023-08-03 10:35:07', '2023-08-06 10:34:35', '2023-08-06 08:56:28', '2023-08-06 10:25:12']","['2023-07-02 16:07:59', '2023-07-06 18:21:28', '2023-07-20 16:46:16', '2023-07-21 13:33:09', '2023-07-24 13:34:03', '2023-08-01 12:27:34', '2023-08-03 13:16:52', '2023-08-06 13:21:50', '2023-08-06 15:03:59', '2023-08-06 13:21:57']","[135.5, 121.5, 153.25, 246.0, 100.0, 64.56666666666666, 161.75, 167.25, 367.51666666666665, 176.75]"
"('Logan_pass_parking',)","[""'02011"", ""'02081"", ""'02181"", ""'02201"", ""'02301"", ""'02331"", ""'02351"", ""'02431"", ""'02441"", ""'02451"", ""'02461"", ""'02471"", ""'02481"", ""'02551"", ""'04301"", ""'05071"", ""'05081"", ""'05141"", ""'05171"", ""'05231"", ""'05261"", ""'05341"", ""'05451"", ""'06041"", ""'06061"", ""'06111"", ""'06131"", ""'06261"", ""'06441"", ""'06451"", ""'06511"", ""'06521"", ""'07041"", ""'07161"", ""'07171"", ""'07231"", ""'07351"", ""'09041"", ""'09081"", ""'09161"", ""'10081"", ""'14081"", ""'14161"", ""'14421"", ""'16011"", ""'16021"", ""'16341"", ""'17131"", ""'20041"", ""'20081"", ""'20201"", ""'20291"", ""'20331"", ""'25201""]",54,"[180.0, 7485.0, 2580.0, 240.0, 3390.0, 3225.0, 300.0, 255.0, 3750.0, 435.0, 11010.0, 210.0, 150.0, 240.0, 3390.0, 8790.0, 9030.0, 2595.0, 1410.0, 6510.0, 120.0, 120.0, 435.0, 6810.0, 561.0, 405.0, 930.0, 3090.0, 2460.0, 720.0, 915.0, 1530.0, 1245.0, 1530.0, 2160.0, 420.0, 1470.0, 8565.0, 180.0, 2595.0, 1665.0, 1155.0, 1845.0, 1815.0, 825.0, 675.0, 2280.0, 2190.0, 1425.0, 2805.0, 495.0, 2355.0, 825.0, 315.0]","['2023-07-05 09:25:39', '2023-07-05 10:17:42', '2023-07-05 10:39:39', '2023-07-05 14:47:14', '2023-07-05 09:41:25', '2023-07-05 10:43:59', '2023-07-05 11:10:47', '2023-07-05 15:13:49', '2023-07-05 15:37:09', '2023-07-05 09:05:23', '2023-07-05 08:19:37', '2023-07-05 10:54:05', '2023-07-05 10:45:11', '2023-07-05 10:53:54', '2023-07-05 09:41:25', '2023-07-10 11:42:29', '2023-07-10 10:24:08', '2023-07-10 14:15:41', '2023-07-10 11:31:23', '2023-07-10 10:57:22', '2023-07-10 09:36:29', '2023-07-10 14:24:24', '2023-07-05 09:05:23', '2023-07-11 12:56:49', '2023-07-11 11:40:28', '2023-07-11 13:49:47', '2023-07-11 13:02:45', '2023-07-11 14:39:48', '2023-07-11 17:54:29', '2023-07-11 13:47:57', '2023-07-12 17:48:29', '2023-07-11 15:03:47', '2023-07-12 18:13:22', '2023-07-12 16:44:37', '2023-07-12 16:39:13', '2023-07-12 19:43:19', '2023-07-12 17:11:38', '2023-07-16 13:08:32', '2023-07-16 08:46:44', '2023-07-16 14:04:19', '2023-07-18 19:25:08', '2023-07-26 17:16:51', '2023-07-26 16:20:57', '2023-07-26 17:27:46', '2023-07-30 18:43:52', '2023-07-30 17:32:55', '2023-07-30 19:49:38', '2023-07-31 16:14:18', '2023-08-02 12:14:06', '2023-08-02 12:50:07', '2023-08-02 13:24:03', '2023-08-02 15:12:16', '2023-08-02 12:21:08', '2023-08-08 12:53:29']","['2023-07-05 09:28:39', '2023-07-05 12:22:27', '2023-07-05 16:20:15', '2023-07-05 14:51:14', '2023-07-05 14:28:55', '2023-07-05 11:37:44', '2023-07-05 11:15:47', '2023-07-05 15:18:04', '2023-07-05 16:39:39', '2023-07-05 09:12:38', '2023-07-05 11:23:07', '2023-07-05 10:57:35', '2023-07-05 10:47:41', '2023-07-05 10:57:54', '2023-07-05 14:28:55', '2023-07-10 14:08:59', '2023-07-10 12:54:38', '2023-07-10 14:58:56', '2023-07-10 11:54:53', '2023-07-10 12:45:52', '2023-07-10 09:38:29', '2023-07-10 14:26:24', '2023-07-05 09:12:38', '2023-07-11 14:50:19', '2023-07-11 11:49:49', '2023-07-11 13:56:32', '2023-07-11 13:18:15', '2023-07-11 15:31:18', '2023-07-11 18:35:29', '2023-07-11 13:59:57', '2023-07-12 18:03:44', '2023-07-11 15:29:17', '2023-07-12 18:34:07', '2023-07-12 17:10:07', '2023-07-12 17:15:13', '2023-07-12 19:50:19', '2023-07-12 17:36:08', '2023-07-16 15:31:17', '2023-07-16 08:49:44', '2023-07-16 16:52:04', '2023-07-18 19:52:53', '2023-07-26 17:36:06', '2023-07-26 16:51:42', '2023-07-26 17:58:01', '2023-07-30 18:57:37', '2023-07-30 17:58:55', '2023-07-30 20:27:38', '2023-07-31 16:50:48', '2023-08-02 12:37:51', '2023-08-02 13:36:52', '2023-08-02 13:32:18', '2023-08-02 15:51:46', '2023-08-02 12:38:08', '2023-08-08 12:58:44']","[3.0, 124.75, 340.6, 4.0, 287.5, 53.75, 5.0, 4.25, 62.5, 7.25, 183.5, 3.5, 2.5, 4.0, 287.5, 146.5, 150.5, 43.25, 23.5, 108.5, 2.0, 2.0, 7.25, 113.5, 9.35, 6.75, 15.5, 51.5, 41.0, 12.0, 15.25, 25.5, 20.75, 25.5, 36.0, 7.0, 24.5, 142.75, 3.0, 167.75, 27.75, 19.25, 30.75, 30.25, 13.75, 26.0, 38.0, 36.5, 23.75, 46.75, 8.25, 39.5, 17.0, 5.25]"
"('Logan_pass_parking', 'Loop_highline_grinnell_glac')","[""'02021"", ""'03311"", ""'05091"", ""'07211"", ""'19041""]",5,"[31441.0, 3825.0, 840.0, 2940.0, 23745.0]","['2023-07-05 09:12:16', '2023-07-05 08:08:36', '2023-07-10 11:59:55', '2023-07-12 17:41:02', '2023-08-01 11:18:53']","['2023-07-05 19:06:36', '2023-07-05 09:26:06', '2023-07-10 12:45:40', '2023-07-12 18:44:32', '2023-08-01 18:03:08']","[594.3333333333334, 77.5, 45.75, 63.5, 404.25]"
"('Logan_pass_VC', 'Logan_pass_parking')","[""'02031"", ""'02091"", ""'02111"", ""'02161"", ""'05221"", ""'16411"", ""'16501"", ""'17221"", ""'17511"", ""'25231"", ""'25391""]",11,"[749.0, 2685.0, 2235.0, 914.0, 3030.0, 1290.0, 525.0, 660.0, 465.0, 766.0, 3135.0]","['2023-07-05 10:59:43', '2023-07-05 10:04:17', '2023-07-05 10:04:13', '2023-07-05 10:44:08', '2023-07-11 11:49:01', '2023-07-30 18:32:14', '2023-07-30 19:06:39', '2023-07-31 17:39:16', '2023-07-31 16:41:36', '2023-08-08 14:53:58', '2023-08-08 14:28:18']","['2023-07-05 11:20:27', '2023-07-05 13:56:17', '2023-07-05 13:56:13', '2023-07-05 11:10:23', '2023-07-11 12:47:31', '2023-07-30 19:01:44', '2023-07-30 19:25:39', '2023-07-31 17:59:31', '2023-07-31 17:07:51', '2023-08-08 15:22:43', '2023-08-08 15:35:48']","[20.733333333333334, 232.0, 232.0, 26.25, 58.5, 29.5, 19.0, 20.25, 26.25, 28.75, 67.5]"
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')","[""'02101"", ""'02241"", ""'05121"", ""'05361"", ""'05511"", ""'06301"", ""'10391"", ""'14521"", ""'14541"", ""'16181"", ""'17041"", ""'17081"", ""'17341"", ""'19021"", ""'25171"", ""'25331""]",16,"[5220.0, 6420.0, 8490.0, 7710.0, 8445.0, 10186.0, 6300.0, 2340.0, 4065.0, 6510.0, 7485.0, 5970.0, 8130.0, 11161.0, 4928.0, 7890.0]","['2023-07-05 09:59:15', '2023-07-05 14:03:39', '2023-07-10 14:17:43', '2023-07-10 08:24:31', '2023-07-10 14:35:08', '2023-07-10 15:09:55', '2023-07-18 18:38:05', '2023-07-26 18:38:44', '2023-07-26 17:15:06', '2023-07-31 17:57:49', '2023-07-31 16:06:06', '2023-07-31 16:27:00', '2023-07-31 15:58:29', '2023-08-01 09:55:44', '2023-08-08 13:07:41', '2023-08-08 13:00:05']","['2023-07-05 11:33:45', '2023-07-05 16:23:09', '2023-07-10 16:44:58', '2023-07-10 10:40:46', '2023-07-10 17:00:08', '2023-07-10 18:08:10', '2023-07-18 20:26:35', '2023-07-26 19:22:44', '2023-07-26 18:46:06', '2023-07-31 19:53:34', '2023-07-31 18:17:06', '2023-07-31 18:25:30', '2023-07-31 18:27:59', '2023-08-01 13:08:14', '2023-08-08 19:20:58', '2023-08-08 16:21:35']","[94.5, 139.5, 147.25, 136.25, 145.0, 178.25, 108.5, 44.0, 91.0, 115.75, 131.0, 118.5, 149.5, 192.5, 373.28333333333336, 201.5]"
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')","[""'02141"", ""'02191"", ""'05251"", ""'14431"", ""'20071"", ""'23141""]",6,"[9855.0, 15555.0, 8415.0, 9509.0, 6855.0, 8024.0]","['2023-07-05 09:51:50', '2023-07-05 09:10:58', '2023-07-10 09:31:32', '2023-07-26 18:10:52', '2023-08-02 17:35:32', '2023-08-06 11:26:17']","['2023-07-05 12:55:35', '2023-07-05 13:50:58', '2023-07-10 12:41:17', '2023-07-26 21:09:52', '2023-08-02 19:41:02', '2023-08-06 15:10:32']","[183.75, 280.0, 189.75, 179.0, 125.5, 224.25]"
"('Logan_pass_VC', 'Loop_highline_grinnell_glac')","[""'02271"", ""'02291"", ""'02341"", ""'14181"", ""'19161"", ""'21191"", ""'23291"", ""'24441""]",8,"[24751.0, 24856.0, 28110.0, 7620.0, 2565.0, 19650.0, 24765.0, 19590.0]","['2023-07-05 09:13:41', '2023-07-05 09:13:42', '2023-07-05 10:38:46', '2023-07-27 09:31:39', '2023-08-01 08:16:22', '2023-08-03 09:26:39', '2023-08-06 07:59:19', '2023-08-07 10:36:36']","['2023-07-05 16:22:08', '2023-07-05 16:15:43', '2023-07-05 18:31:46', '2023-07-27 11:46:54', '2023-08-01 09:09:37', '2023-08-03 15:02:09', '2023-08-06 14:56:34', '2023-08-07 16:06:06']","[428.45, 422.01666666666665, 473.0, 135.25, 53.25, 335.5, 417.25, 329.5]"
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Logan_pass')","[""'03031""]",1,[5805.0],['2023-07-06 13:00:26'],['2023-07-06 14:51:26'],[111.0]
"('Hidden_lake_overlook', 'Logan_pass_VC')","[""'03101"", ""'24231""]",2,"[4665.0, 4795.0]","['2023-07-06 12:42:17', '2023-08-07 11:42:52']","['2023-07-06 14:03:02', '2023-08-07 13:04:47']","[80.75, 81.91666666666667]"
