ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",10874.0,2023-07-02 11:50:55,2023-07-02 16:35:41,284.76666666666665
'01061,"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Rising_sun_boat_dock', 'Sun_point_parking', 'Baring_falls_trail', 'Shuttle_Sunrift_gorge', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Avalanche_parking')",13133.0,2023-07-02 11:21:43,2023-07-02 18:30:55,429.2
'01241,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Logan_pass_parking', 'Shuttle_Loop', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge')",11566.0,2023-07-02 12:05:23,2023-07-02 17:11:19,305.93333333333334
'01341,"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC_parking', 'Apgar_VC')",14114.0,2023-07-02 12:05:19,2023-07-02 23:34:09,688.8333333333334
'01371,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Apgar_VC_parking', 'Apgar_village')",61049.0,2023-07-02 12:05:35,2023-07-03 05:44:55,1059.3333333333333
'01401,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC_parking', 'Apgar_VC', 'Apgar_VC_parking')",28811.0,2023-07-02 13:29:18,2023-07-03 05:49:52,980.5666666666667
'01501,"('Lake_macdonald_lodge', 'Avalanche_parking', 'Shuttle_Avalanche', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC')",32577.0,2023-07-02 12:46:00,2023-07-03 05:33:02,1007.0333333333333
'01511,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Lake_macdonald_lodge', 'Apgar_VC', 'Apgar_VC_parking', 'Apgar_VC')",26379.0,2023-07-02 12:05:23,2023-07-03 04:17:02,971.65
'02011,"('Logan_pass_parking', 'Jackson_glac_overlook', 'Red_rock', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",3447.0,2023-07-05 09:25:39,2023-07-05 12:45:07,199.46666666666667
'02021,"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Loop', 'Logan_pass_parking')",33617.0,2023-07-05 09:12:16,2023-07-05 19:06:36,594.3333333333334
