ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald')",10874.0,2023-07-02 11:50:55,2023-07-02 16:35:41,284.76666666666665
'01061,"('LakeMcDonald', 'Avalanche', 'Logan', 'RisingSun', 'SunPoint', 'Waterfalls', 'Logan', 'Loop', 'Avalanche')",13133.0,2023-07-02 11:21:43,2023-07-02 18:30:55,429.2
'01241,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')",11566.0,2023-07-02 12:05:23,2023-07-02 17:11:19,305.93333333333334
'01341,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')",14114.0,2023-07-02 12:05:19,2023-07-02 23:34:09,688.8333333333334
'01371,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",61049.0,2023-07-02 12:05:35,2023-07-03 05:44:55,1059.3333333333333
'01401,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",28811.0,2023-07-02 13:29:18,2023-07-03 05:49:52,980.5666666666667
'01501,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')",32577.0,2023-07-02 12:46:00,2023-07-03 05:33:02,1007.0333333333333
'01511,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",26379.0,2023-07-02 12:05:23,2023-07-03 04:17:02,971.65
'02011,"('Logan', 'Waterfalls', 'LakeMcDonald')",2802.0,2023-07-05 09:25:39,2023-07-05 12:45:07,199.46666666666667
'02021,"('Logan', 'Loop', 'Logan')",33617.0,2023-07-05 09:12:16,2023-07-05 19:06:36,594.3333333333334
'02031,"('LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'LakeMcDonald')",9286.0,2023-07-05 07:54:28,2023-07-05 18:17:24,622.9333333333333
'02061,"('Avalanche', 'Apgar')",26942.0,2023-07-05 09:14:40,2023-07-05 19:02:40,588.0
'02081,"('Apgar', 'Logan', 'SunPoint', 'StMary')",11415.0,2023-07-05 07:17:12,2023-07-05 14:27:57,430.75
'02091,"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'Logan', 'LakeMcDonald', 'Apgar')",11715.0,2023-07-05 07:44:47,2023-07-05 15:38:02,473.25
'02101,"('Apgar', 'Logan', 'StMary')",5940.0,2023-07-05 08:07:35,2023-07-05 23:22:02,914.45
'02111,"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'Logan', 'LakeMcDonald', 'Apgar')",13200.0,2023-07-05 07:21:58,2023-07-05 15:32:43,490.75
'02141,"('Logan',)",9855.0,2023-07-05 09:51:50,2023-07-05 12:55:35,183.75
'02161,"('Logan', 'Waterfalls', 'SunPoint')",2885.0,2023-07-05 10:44:08,2023-07-05 12:16:17,92.15
'02171,"('Avalanche',)",22439.0,2023-07-05 08:22:44,2023-07-05 15:19:14,416.5
'02181,"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'SunPoint', 'Logan', 'Apgar')",24582.0,2023-07-05 07:32:05,2023-07-06 00:32:08,1020.05
'02191,"('Logan', 'Waterfalls')",18660.0,2023-07-05 09:10:58,2023-07-05 16:21:43,430.75
'02201,"('Avalanche', 'Logan', 'Waterfalls', 'SunPoint')",18930.0,2023-07-05 08:13:14,2023-07-05 16:31:29,498.25
'02211,"('Avalanche', 'Apgar')",20580.0,2023-07-05 07:56:45,2023-07-05 14:09:45,373.0
'02221,"('Avalanche', 'Logan', 'Avalanche', 'Apgar')",33097.0,2023-07-05 07:58:54,2023-07-05 23:56:20,957.4333333333333
'02231,"('Avalanche', 'Apgar')",6375.0,2023-07-05 07:45:43,2023-07-05 16:49:43,544.0
'02241,"('RisingSun', 'Waterfalls', 'RisingSun', 'Logan')",12795.0,2023-07-05 09:55:39,2023-07-05 16:23:09,387.5
'02251,"('Apgar',)",15405.0,2023-07-05 09:04:44,2023-07-05 13:23:14,258.5
'02271,"('Apgar', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')",30612.0,2023-07-05 07:14:43,2023-07-05 17:29:51,615.1333333333333
'02281,"('Avalanche', 'Apgar')",18090.0,2023-07-05 07:53:02,2023-07-05 15:25:17,452.25
'02291,"('Apgar', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')",32147.0,2023-07-05 07:13:58,2023-07-05 23:01:26,947.4666666666667
'02301,"('Loop', 'Logan', 'SunPoint', 'Logan', 'Apgar')",20220.0,2023-07-05 09:08:10,2023-07-05 15:42:10,394.0
'02321,"('Waterfalls', 'SunPoint', 'RisingSun', 'StMary')",6323.0,2023-07-05 09:45:33,2023-07-05 14:54:27,308.9
'02331,"('Apgar', 'Loop', 'Logan', 'Waterfalls', 'SunPoint', 'RisingSun', 'StMary')",18405.0,2023-07-05 08:03:37,2023-07-05 22:32:29,868.8666666666667
'02341,"('Loop', 'Logan', 'Loop')",33105.0,2023-07-05 09:04:46,2023-07-05 18:50:16,585.5
'02351,"('LakeMcDonald', 'Logan', 'Waterfalls', 'StMary')",7190.0,2023-07-05 08:42:14,2023-07-05 13:26:16,284.03333333333336
'02361,"('Apgar',)",18930.0,2023-07-05 08:25:45,2023-07-05 14:10:30,344.75
'02411,"('Apgar',)",26664.0,2023-07-05 07:33:07,2023-07-05 17:59:05,625.9666666666667
