ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",1020.0,2023-07-02 12:03:25,2023-07-02 16:21:41,258.26666666666665
'01061,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking')",831.0,2023-07-02 11:34:01,2023-07-02 18:30:55,416.9
'01241,"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",4335.0,2023-07-02 12:20:08,2023-07-02 16:58:04,277.93333333333334
'01341,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",1485.0,2023-07-02 12:20:44,2023-07-02 17:02:44,282.0
'01371,"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",14925.0,2023-07-02 12:20:59,2023-07-02 16:29:28,248.48333333333332
'01401,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",13003.0,2023-07-02 13:44:18,2023-07-02 16:58:18,194.0
'01501,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",2790.0,2023-07-02 12:59:15,2023-07-02 17:02:30,243.25
'01511,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",4275.0,2023-07-02 12:19:38,2023-07-02 15:39:38,200.0
'02061,"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars')",14745.0,2023-07-05 09:14:40,2023-07-05 13:29:10,254.5
'02171,"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')",22439.0,2023-07-05 08:22:44,2023-07-05 15:19:14,416.5
'02201,"('Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')",16560.0,2023-07-05 08:13:14,2023-07-05 13:00:29,287.25
'02211,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking')",17490.0,2023-07-05 07:56:45,2023-07-05 12:46:30,289.75
'02221,"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Avalanche_parking', 'Shuttle_Avalanche')",15210.0,2023-07-05 07:58:54,2023-07-05 16:36:38,517.7333333333333
'02231,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_parking')",3465.0,2023-07-05 07:45:43,2023-07-05 12:47:58,302.25
'02271,"('Avalanche_parking', 'Shuttle_Avalanche')",1260.0,2023-07-05 17:04:06,2023-07-05 17:15:51,11.75
'02281,"('Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars')",17325.0,2023-07-05 07:53:02,2023-07-05 12:46:47,293.75
'02291,"('Avalanche_parking', 'Shuttle_Avalanche')",1230.0,2023-07-05 17:04:09,2023-07-05 17:15:39,11.5
'02421,"('Avalanche_parking', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",16485.0,2023-07-05 10:08:19,2023-07-05 14:46:04,277.75
'02441,"('Trail_of_Cedars',)",13455.0,2023-07-05 09:17:09,2023-07-05 13:01:24,224.25
'02461,"('Avalanche_parking',)",4110.0,2023-07-05 14:18:52,2023-07-05 15:27:22,68.5
'02521,"('Avalanche_parking', 'Shuttle_Avalanche', 'Trail_of_Cedars', 'Avalanche_trail', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche')",15106.0,2023-07-05 09:33:01,2023-07-05 13:41:46,248.75
