ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",540.0,2023-07-02 11:50:55,2023-07-02 16:35:41,284.76666666666665
'01061,"('Lake_macdonald_lodge',)",135.0,2023-07-02 11:21:43,2023-07-02 11:23:58,2.25
'01241,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",495.0,2023-07-02 12:05:23,2023-07-02 17:11:19,305.93333333333334
'01341,"('Lake_macdonald_lodge',)",435.0,2023-07-02 12:05:19,2023-07-02 17:17:14,311.9166666666667
'01371,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",810.0,2023-07-02 12:05:35,2023-07-02 16:44:13,278.6333333333333
'01401,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",555.0,2023-07-02 13:29:18,2023-07-02 17:11:18,222.0
'01501,"('Lake_macdonald_lodge',)",465.0,2023-07-02 12:46:00,2023-07-02 17:17:15,271.25
'01511,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",510.0,2023-07-02 12:05:23,2023-07-02 15:52:53,227.5
'02011,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",2502.0,2023-07-05 12:04:06,2023-07-05 12:45:07,41.016666666666666
'02031,"('Lake_macdonald_lodge',)",6137.0,2023-07-05 07:54:28,2023-07-05 18:17:24,622.9333333333333
'02091,"('Lake_macdonald_lodge',)",1725.0,2023-07-05 08:29:17,2023-07-05 15:02:47,393.5
'02111,"('Lake_macdonald_lodge',)",1755.0,2023-07-05 08:29:28,2023-07-05 15:03:28,394.0
'02181,"('Lake_macdonald_lodge',)",1204.0,2023-07-05 09:04:05,2023-07-05 09:24:09,20.066666666666666
'02271,"('Lake_macdonald_lodge',)",165.0,2023-07-05 17:27:06,2023-07-05 17:29:51,2.75
'02291,"('Lake_macdonald_lodge',)",180.0,2023-07-05 17:26:54,2023-07-05 17:29:54,3.0
'02351,"('Lake_macdonald_lodge',)",4413.0,2023-07-05 08:42:14,2023-07-05 10:00:47,78.55
'02421,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",585.0,2023-07-05 09:54:04,2023-07-05 14:59:34,305.5
'02431,"('Lake_macdonald_lodge',)",210.0,2023-07-05 16:56:04,2023-07-05 16:59:34,3.5
'02441,"('Lake_macdonald_lodge',)",3960.0,2023-07-05 13:16:09,2023-07-05 14:22:09,66.0
'02471,"('Lake_macdonald_lodge',)",2430.0,2023-07-05 08:33:35,2023-07-05 09:17:35,44.0
'02481,"('Lake_macdonald_lodge',)",1305.0,2023-07-05 08:51:24,2023-07-05 09:13:09,21.75
'02521,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",1099.0,2023-07-05 09:18:16,2023-07-05 14:01:09,282.8833333333333
'04051,"('Lake_macdonald_lodge',)",165.0,2023-07-07 15:39:45,2023-07-07 15:42:30,2.75
'05071,"('Lake_macdonald_lodge',)",8205.0,2023-07-10 15:06:44,2023-07-10 18:40:29,213.75
'05121,"('Lake_macdonald_lodge',)",3863.0,2023-07-10 09:01:35,2023-07-10 11:57:58,176.38333333333333
'05141,"('Lake_macdonald_lodge',)",1819.0,2023-07-10 09:48:07,2023-07-10 11:22:56,94.81666666666666
'05171,"('Lake_macdonald_lodge',)",1275.0,2023-07-10 12:49:53,2023-07-10 13:11:08,21.25
'05291,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",2010.0,2023-07-10 16:46:33,2023-07-10 17:03:48,17.25
'05541,"('Lake_macdonald_lodge',)",237.0,2023-07-10 08:54:24,2023-07-10 08:58:21,3.95
'06021,"('Lake_macdonald_lodge',)",210.0,2023-07-11 12:02:16,2023-07-11 12:05:46,3.5
'06111,"('Lake_macdonald_lodge',)",135.0,2023-07-11 11:56:32,2023-07-11 11:58:47,2.25
'06151,"('Lake_macdonald_lodge',)",345.0,2023-07-11 11:48:49,2023-07-11 11:54:34,5.75
'06171,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",4257.0,2023-07-11 14:27:53,2023-07-11 16:40:49,132.93333333333334
'06381,"('Lake_macdonald_lodge',)",180.0,2023-07-11 11:38:51,2023-07-11 11:41:51,3.0
'06441,"('Lake_macdonald_lodge',)",3945.0,2023-07-11 11:42:59,2023-07-11 12:52:44,69.75
'06451,"('Lake_macdonald_lodge',)",2115.0,2023-07-11 10:49:27,2023-07-11 11:24:42,35.25
'06521,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",13126.0,2023-07-11 11:02:07,2023-07-11 18:00:32,418.4166666666667
'06531,"('Lake_macdonald_lodge',)",3465.0,2023-07-11 11:32:32,2023-07-11 12:30:47,58.25
'06541,"('Lake_macdonald_lodge',)",5559.0,2023-07-11 10:36:27,2023-07-11 14:38:51,242.4
'07361,"('Lake_macdonald_lodge',)",50928.0,2023-07-12 17:15:20,2023-07-13 09:29:08,973.8
'09151,"('Lake_macdonald_lodge',)",5985.0,2023-07-16 11:37:50,2023-07-16 13:17:35,99.75
'09341,"('Lake_macdonald_lodge',)",165.0,2023-07-16 13:19:18,2023-07-16 13:22:03,2.75
'09381,"('Lake_macdonald_lodge',)",7830.0,2023-07-16 13:18:59,2023-07-16 15:29:29,130.5
'09421,"('Lake_macdonald_lodge',)",36315.0,2023-07-16 12:24:07,2023-07-17 03:28:52,904.75
'09471,"('Lake_macdonald_lodge',)",120.0,2023-07-16 11:52:50,2023-07-16 11:54:50,2.0
'11111,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",510.0,2023-07-20 11:29:21,2023-07-20 16:47:51,318.5
'11331,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",645.0,2023-07-20 10:18:23,2023-07-20 16:47:53,389.5
'11411,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge')",9159.0,2023-07-20 10:56:22,2023-07-20 18:10:16,433.9
'11421,"('Lake_macdonald_lodge',)",750.0,2023-07-20 10:20:02,2023-07-20 14:59:00,278.96666666666664
'11531,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",12852.0,2023-07-20 10:18:26,2023-07-20 16:05:38,347.2
'12521,"('Lake_macdonald_lodge', 'Shuttle_Lake_macdonald', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",5970.0,2023-07-21 13:35:19,2023-07-21 14:58:34,83.25
'1313,"('Lake_macdonald_lodge',)",6702.0,2023-07-26 18:00:23,2023-07-26 19:54:49,114.43333333333334
