ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01061,"('Shuttle_Loop',)",225.0,2023-07-02 18:10:25,2023-07-02 18:14:10,3.75
'01241,"('Shuttle_Loop',)",120.0,2023-07-02 15:44:08,2023-07-02 15:46:08,2.0
'01341,"('Shuttle_Loop',)",135.0,2023-07-02 16:32:14,2023-07-02 16:34:29,2.25
'01501,"('Shuttle_Loop',)",135.0,2023-07-02 16:32:15,2023-07-02 16:34:30,2.25
'02021,"('Shuttle_Loop',)",2176.0,2023-07-05 17:56:47,2023-07-05 18:38:19,41.53333333333333
'02271,"('Shuttle_Loop',)",1753.0,2023-07-05 16:24:53,2023-07-05 16:59:51,34.96666666666667
'02291,"('Shuttle_Loop',)",1711.0,2023-07-05 16:19:42,2023-07-05 16:48:13,28.516666666666666
'02301,"('Loop_parking',)",390.0,2023-07-05 09:08:10,2023-07-05 09:14:40,6.5
'02331,"('Loop_parking',)",1050.0,2023-07-05 09:28:44,2023-07-05 09:46:14,17.5
'02341,"('Loop_parking', 'Shuttle_Loop')",3945.0,2023-07-05 09:04:46,2023-07-05 10:12:46,68.0
'02481,"('Loop_parking',)",737.0,2023-07-05 09:52:09,2023-07-05 10:05:11,13.033333333333333
'0355,"('Loop_parking',)",315.0,2023-07-12 18:54:39,2023-07-12 18:59:54,5.25
'04051,"('Shuttle_Loop',)",1019.0,2023-07-07 19:12:00,2023-07-07 19:33:15,21.25
'04301,"('Loop_parking',)",390.0,2023-07-05 09:08:10,2023-07-05 09:14:40,6.5
'05091,"('Loop_parking',)",495.0,2023-07-10 11:52:25,2023-07-10 12:08:40,16.25
'05131,"('Loop_parking',)",540.0,2023-07-10 08:13:05,2023-07-10 08:22:05,9.0
'05141,"('Loop_parking',)",930.0,2023-07-10 13:33:11,2023-07-10 13:48:41,15.5
'05231,"('Loop_parking',)",465.0,2023-07-10 09:47:52,2023-07-10 09:55:37,7.75
'05291,"('Loop_parking',)",2205.0,2023-07-10 08:18:48,2023-07-10 16:12:48,474.0
'05361,"('Loop_parking',)",420.0,2023-07-10 07:53:31,2023-07-10 08:00:31,7.0
'06041,"('Loop_parking',)",735.0,2023-07-11 12:10:49,2023-07-11 12:23:04,12.25
'06131,"('Loop_parking',)",435.0,2023-07-11 12:26:30,2023-07-11 12:33:45,7.25
'06181,"('Loop_parking',)",300.0,2023-07-11 13:40:04,2023-07-11 13:46:04,6.0
'06421,"('Loop_parking',)",1981.0,2023-07-11 12:43:16,2023-07-11 13:20:32,37.266666666666666
'06441,"('Loop_parking',)",585.0,2023-07-11 17:17:14,2023-07-11 17:26:59,9.75
'07521,"('Loop_parking',)",315.0,2023-07-12 17:43:28,2023-07-12 17:48:43,5.25
'09501,"('Loop_parking',)",1245.0,2023-07-16 10:06:47,2023-07-16 10:27:32,20.75
'10081,"('Loop_parking',)",405.0,2023-07-18 18:52:23,2023-07-18 18:59:08,6.75
'13231,"('Loop_parking',)",451.0,2023-07-24 19:04:26,2023-07-24 19:11:57,7.516666666666667
'14181,"('Loop_parking',)",585.0,2023-07-26 19:20:00,2023-07-26 19:29:45,9.75
'14441,"('Loop_parking',)",150.0,2023-07-26 18:28:22,2023-07-26 18:30:52,2.5
'15161,"('Shuttle_Loop',)",1035.0,2023-07-27 19:23:17,2023-07-27 19:47:47,24.5
'15501,"('Shuttle_Loop',)",165.0,2023-07-27 16:14:17,2023-07-27 16:17:02,2.75
'16021,"('Loop_parking',)",345.0,2023-07-30 17:04:25,2023-07-30 17:10:10,5.75
'16411,"('Loop_parking',)",226.0,2023-07-30 17:57:28,2023-07-30 18:01:14,3.7666666666666666
'16501,"('Loop_parking',)",810.0,2023-07-30 18:27:24,2023-07-30 18:40:54,13.5
'17381,"('Loop_parking',)",195.0,2023-07-31 17:21:28,2023-07-31 17:24:43,3.25
'17461,"('Loop_parking',)",420.0,2023-07-31 17:56:17,2023-07-31 18:03:17,7.0
'19041,"('Loop_parking', 'Shuttle_Loop')",330.0,2023-08-01 18:04:23,2023-08-01 18:10:23,6.0
'20081,"('Loop_parking',)",120.0,2023-08-02 14:22:22,2023-08-02 14:24:22,2.0
'20161,"('Loop_parking',)",450.0,2023-08-02 17:07:20,2023-08-02 17:14:50,7.5
'23291,"('Shuttle_Loop',)",885.0,2023-08-06 14:59:19,2023-08-06 15:14:04,14.75
'24441,"('Shuttle_Loop',)",600.0,2023-08-07 16:08:36,2023-08-07 16:18:36,10.0
'25281,"('Shuttle_Loop',)",1935.0,2023-08-08 12:57:32,2023-08-08 13:29:47,32.25
'25321,"('Loop_parking',)",270.0,2023-08-08 14:41:24,2023-08-08 14:45:54,4.5
