ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01061,"('Rising_sun_boat_dock',)",120.0,2023-07-02 16:12:10,2023-07-02 16:14:10,2.0
'02031,"('Rising_sun',)",675.0,2023-07-05 12:15:58,2023-07-05 15:35:44,199.76666666666668
'02091,"('Rising_sun',)",4710.0,2023-07-05 11:39:47,2023-07-05 12:58:17,78.5
'02111,"('Rising_sun',)",4710.0,2023-07-05 11:39:43,2023-07-05 12:58:13,78.5
'02241,"('Rising_sun_boat_dock', 'Rising_sun')",5400.0,2023-07-05 09:55:39,2023-07-05 13:36:54,221.25
'02321,"('Rising_sun_boat_dock', 'Rising_sun_picnic_area')",495.0,2023-07-05 13:24:48,2023-07-05 14:13:18,48.5
'02331,"('Rising_sun',)",705.0,2023-07-05 14:10:14,2023-07-05 14:21:59,11.75
'02451,"('Rising_sun_picnic_area',)",4276.0,2023-07-05 10:26:22,2023-07-05 11:41:08,74.76666666666667
'02551,"('Rising_sun', 'Rising_sun_boat_dock')",3810.0,2023-07-05 11:44:09,2023-07-05 14:41:24,177.25
'03031,"('Rising_sun_boat_dock', 'Shuttle_Rising_Sun')",315.0,2023-07-06 12:23:26,2023-07-06 12:26:41,3.25
'03161,"('Rising_sun_boat_dock',)",135.0,2023-07-06 10:38:00,2023-07-06 10:40:15,2.25
'03411,"('Rising_sun_boat_dock', 'Shuttle_Rising_Sun')",315.0,2023-07-06 15:14:16,2023-07-06 15:17:16,3.0
'03471,"('Rising_sun_boat_dock',)",165.0,2023-07-06 13:12:22,2023-07-06 13:15:07,2.75
'03551,"('Rising_sun_boat_dock',)",165.0,2023-07-06 11:28:16,2023-07-06 11:31:01,2.75
'05261,"('Rising_sun_boat_dock',)",1920.0,2023-07-10 14:51:59,2023-07-10 15:23:59,32.0
'05451,"('Rising_sun_picnic_area',)",4276.0,2023-07-05 10:26:22,2023-07-05 11:41:08,74.76666666666667
'06381,"('Rising_sun',)",5145.0,2023-07-11 13:36:14,2023-07-11 15:01:59,85.75
'06441,"('Rising_sun',)",5280.0,2023-07-11 18:59:29,2023-07-11 20:27:29,88.0
'07131,"('Rising_sun',)",120.0,2023-07-12 15:17:29,2023-07-12 15:19:29,2.0
'08231,"('Rising_sun_boat_dock',)",255.0,2023-07-14 14:55:38,2023-07-14 17:49:05,173.45
'09041,"('Rising_sun_boat_dock',)",8520.0,2023-07-16 09:22:32,2023-07-16 11:44:32,142.0
'09281,"('Rising_sun_boat_dock',)",3510.0,2023-07-16 08:03:37,2023-07-16 11:49:37,226.0
'09331,"('Rising_sun_boat_dock',)",2550.0,2023-07-16 08:11:06,2023-07-16 08:53:36,42.5
'10091,"('Rising_sun',)",495.0,2023-07-16 09:41:39,2023-07-16 09:49:54,8.25
'10241,"('Rising_sun',)",495.0,2023-07-16 09:41:41,2023-07-16 09:49:56,8.25
'12151,"('Rising_sun_boat_dock',)",135.0,2023-07-21 10:02:36,2023-07-21 10:04:51,2.25
'12161,"('Rising_sun_boat_dock',)",120.0,2023-07-21 10:39:05,2023-07-21 10:41:05,2.0
'12301,"('Rising_sun_boat_dock',)",120.0,2023-07-21 11:06:43,2023-07-21 11:08:43,2.0
'12401,"('Rising_sun_boat_dock',)",285.0,2023-07-21 09:27:59,2023-07-21 12:31:44,183.75
'12521,"('Rising_sun_boat_dock',)",150.0,2023-07-21 16:39:34,2023-07-21 16:42:04,2.5
'13041,"('Rising_sun_boat_dock',)",180.0,2023-07-24 11:14:03,2023-07-24 11:17:03,3.0
'13231,"('Rising_sun_boat_dock',)",150.0,2023-07-24 10:03:27,2023-07-24 10:05:57,2.5
'13241,"('Rising_sun_boat_dock',)",180.0,2023-07-24 11:14:02,2023-07-24 11:17:02,3.0
'13511,"('Rising_sun_boat_dock',)",120.0,2023-07-24 14:23:26,2023-07-24 14:25:26,2.0
'14151,"('Rising_sun',)",825.0,2023-07-26 15:54:20,2023-07-26 16:08:05,13.75
'14321,"('Rising_sun_picnic_area',)",9435.0,2023-07-26 17:48:34,2023-07-26 20:34:34,166.0
'17121,"('Rising_sun',)",165.0,2023-08-01 07:38:26,2023-08-01 07:41:11,2.75
'17131,"('Rising_sun',)",7995.0,2023-07-31 17:40:03,2023-08-01 07:41:18,841.25
'17231,"('Rising_sun',)",3420.0,2023-07-31 17:23:07,2023-07-31 18:20:52,57.75
'17431,"('Rising_sun',)",8809.0,2023-07-31 16:33:14,2023-07-31 19:59:33,206.31666666666666
'17441,"('Rising_sun_boat_dock', 'Rising_sun')",1590.0,2023-07-31 16:32:47,2023-07-31 18:40:17,127.5
'18131,"('Rising_sun_boat_dock',)",120.0,2023-08-01 08:33:29,2023-08-01 08:35:29,2.0
'18151,"('Rising_sun_boat_dock',)",120.0,2023-08-01 08:33:30,2023-08-01 08:35:30,2.0
'19311,"('Rising_sun_boat_dock',)",150.0,2023-08-01 12:50:39,2023-08-01 12:53:09,2.5
'20021,"('Rising_sun_boat_dock', 'Rising_sun_picnic_area')",13035.0,2023-08-02 11:07:48,2023-08-02 14:46:48,219.0
'20201,"('Rising_sun_boat_dock',)",1485.0,2023-08-02 12:34:48,2023-08-02 12:59:33,24.75
