ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'02081,"('St_mary_VC_parking',)",1095.0,2023-07-05 14:09:42,2023-07-05 14:27:57,18.25
'02101,"('St_mary_VC_parking',)",345.0,2023-07-05 23:16:17,2023-07-05 23:22:02,5.75
'02321,"('St_mary_VC',)",1629.0,2023-07-05 14:26:48,2023-07-05 14:54:27,27.65
'02331,"('St_mary_VC_parking',)",9720.0,2023-07-05 19:50:29,2023-07-05 22:32:29,162.0
'02351,"('St_mary_VC_parking', 'St_mary_VC')",376.0,2023-07-05 13:14:15,2023-07-05 13:26:16,12.016666666666667
'02451,"('St_mary_VC_parking',)",135.0,2023-07-05 12:02:38,2023-07-05 12:04:53,2.25
'02551,"('St_mary_VC_parking',)",40680.0,2023-07-05 14:52:09,2023-07-06 02:10:09,678.0
'03031,"('St_mary_VC_parking',)",1980.0,2023-07-06 11:43:11,2023-07-06 19:01:56,438.75
'03161,"('St_mary_VC_parking',)",5541.0,2023-07-06 13:33:15,2023-07-06 15:05:36,92.35
'03191,"('St_mary_VC', 'St_mary_VC_parking', 'St_mary_VC', 'St_mary_VC_parking')",2190.0,2023-07-06 12:07:51,2023-07-06 12:53:36,45.75
'05131,"('St_mary_VC_parking',)",225.0,2023-07-10 09:18:20,2023-07-10 09:22:05,3.75
'05331,"('St_mary_VC_parking',)",600.0,2023-07-06 09:38:30,2023-07-06 09:48:30,10.0
'05341,"('St_mary_VC', 'St_mary_VC_parking')",667.0,2023-07-10 13:28:03,2023-07-10 13:40:09,12.1
'05351,"('St_mary_VC_parking',)",420.0,2023-07-06 09:35:43,2023-07-06 09:42:43,7.0
'05451,"('St_mary_VC_parking',)",135.0,2023-07-05 12:02:38,2023-07-05 12:04:53,2.25
'05541,"('St_mary_VC_parking',)",405.0,2023-07-10 10:54:51,2023-07-10 11:11:42,16.85
'06021,"('St_mary_VC_parking',)",795.0,2023-07-11 13:45:01,2023-07-11 13:58:16,13.25
'06061,"('St_mary_VC_parking',)",188.0,2023-07-11 12:40:21,2023-07-11 12:43:29,3.1333333333333333
'06351,"('St_mary_VC_parking',)",1590.0,2023-07-11 13:16:29,2023-07-11 13:42:59,26.5
'07231,"('St_mary_campground', 'St_mary_VC_parking')",42555.0,2023-07-12 20:41:19,2023-07-13 10:23:22,822.05
'07261,"('St_mary_VC',)",4575.0,2023-07-12 19:20:20,2023-07-12 20:36:35,76.25
'07341,"('St_mary_VC_parking',)",1335.0,2023-07-12 17:15:13,2023-07-12 17:37:28,22.25
'07461,"('St_mary_VC_parking',)",7065.0,2023-07-12 19:52:48,2023-07-12 21:50:33,117.75
