ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01061,"('Sun_point_parking',)",135.0,2023-07-02 16:22:25,2023-07-02 16:24:40,2.25
'02031,"('Sun_point_parking',)",1545.0,2023-07-05 15:47:10,2023-07-05 16:12:55,25.75
'02081,"('Sun_point_parking',)",2370.0,2023-07-05 12:54:42,2023-07-05 13:34:12,39.5
'02091,"('Sun_point_parking',)",1065.0,2023-07-05 13:07:17,2023-07-05 13:26:02,18.75
'02111,"('Sun_point_parking', 'Sun_point_nature_trail', 'Sun_point_parking')",945.0,2023-07-05 13:07:28,2023-07-05 13:25:58,18.5
'02161,"('Sun_point_parking',)",1656.0,2023-07-05 11:48:41,2023-07-05 12:16:17,27.6
'02181,"('Sun_point_parking',)",1905.0,2023-07-05 15:13:15,2023-07-05 15:45:00,31.75
'02201,"('Sun_point_parking',)",1725.0,2023-07-05 16:02:44,2023-07-05 16:31:29,28.75
'02301,"('Sun_point_parking', 'Shuttle_Sun_point', 'Sun_point_parking')",16155.0,2023-07-05 11:01:10,2023-07-05 14:04:10,183.0
'02321,"('Sun_point_parking',)",255.0,2023-07-05 13:13:48,2023-07-05 13:18:03,4.25
'02331,"('Sun_point_parking',)",165.0,2023-07-05 13:47:44,2023-07-05 13:50:29,2.75
'02451,"('Sun_point_parking',)",1155.0,2023-07-05 09:58:38,2023-07-05 10:18:08,19.5
'02471,"('Sun_point_parking', 'Shuttle_Sun_point')",2701.0,2023-07-05 11:27:50,2023-07-05 12:10:35,42.75
'02551,"('Sun_point_parking',)",345.0,2023-07-05 11:29:54,2023-07-05 11:35:39,5.75
'03161,"('Sun_point_parking',)",120.0,2023-07-06 10:49:00,2023-07-06 10:51:00,2.0
'03201,"('Sun_point_parking',)",120.0,2023-07-06 12:49:39,2023-07-06 12:51:39,2.0
'03411,"('Sun_point_parking',)",150.0,2023-07-06 12:58:01,2023-07-06 13:00:31,2.5
'03471,"('Sun_point_parking',)",135.0,2023-07-06 13:23:22,2023-07-06 13:25:37,2.25
'03551,"('Sun_point_parking',)",135.0,2023-07-06 16:39:31,2023-07-06 16:41:46,2.25
'04301,"('Sun_point_parking', 'Shuttle_Sun_point', 'Sun_point_parking')",16155.0,2023-07-05 11:01:10,2023-07-05 14:04:10,183.0
'05011,"('Sun_point_parking',)",420.0,2023-07-10 12:00:02,2023-07-10 12:07:02,7.0
'05131,"('Sun_point_parking',)",375.0,2023-07-10 15:04:05,2023-07-10 15:10:20,6.25
'05341,"('Sun_point_parking', 'Shuttle_Sun_point', 'Sun_point_parking')",2325.0,2023-07-10 11:35:03,2023-07-10 13:06:48,91.75
'05451,"('Sun_point_parking',)",1155.0,2023-07-05 09:58:38,2023-07-05 10:18:08,19.5
'06061,"('Sun_point_parking',)",143.0,2023-07-11 12:10:25,2023-07-11 12:12:48,2.3833333333333333
'06301,"('Sun_point_parking',)",4605.0,2023-07-10 13:33:40,2023-07-10 14:50:25,76.75
'07391,"('Sun_point_parking', 'Sun_point_nature_trail', 'Sun_point_parking')",1471.0,2023-07-06 12:07:23,2023-07-06 15:42:38,215.25
'07441,"('Sun_point_parking',)",465.0,2023-07-12 15:43:09,2023-07-12 16:36:24,53.25
'08231,"('Sun_point_parking',)",150.0,2023-07-14 15:05:23,2023-07-14 15:07:53,2.5
'09041,"('Sun_point_parking',)",3525.0,2023-07-16 11:52:17,2023-07-16 12:51:02,58.75
'09111,"('Sun_point_parking',)",900.0,2023-07-16 08:17:50,2023-07-16 08:36:50,19.0
'09161,"('Sun_point_parking',)",4545.0,2023-07-16 08:55:04,2023-07-16 10:10:49,75.75
'09381,"('Sun_point_parking',)",165.0,2023-07-16 07:56:59,2023-07-16 07:59:44,2.75
'09401,"('Sun_point_parking', 'Sun_point_nature_trail', 'Sun_point_parking')",4411.0,2023-07-16 09:39:01,2023-07-16 14:50:46,311.75
'09471,"('Sun_point_parking',)",270.0,2023-07-16 09:41:50,2023-07-16 09:46:20,4.5
'12401,"('Sun_point_parking', 'Shuttle_Sun_point', 'Sun_point_parking')",570.0,2023-07-21 09:37:29,2023-07-21 12:21:44,164.25
'13041,"('Sun_point_parking',)",285.0,2023-07-24 11:25:33,2023-07-24 14:04:33,159.0
'13231,"('Sun_point_parking',)",180.0,2023-07-24 10:13:12,2023-07-24 10:16:12,3.0
'13241,"('Sun_point_parking',)",135.0,2023-07-24 11:25:32,2023-07-24 11:27:47,2.25
'13331,"('Sun_point_parking',)",150.0,2023-07-24 13:22:16,2023-07-24 13:24:46,2.5
'14411,"('Sun_point_parking',)",360.0,2023-07-26 15:45:46,2023-07-26 15:51:46,6.0
'19311,"('Sun_point_parking', 'Sun_point_nature_trail', 'Sun_point_parking')",1095.0,2023-08-01 14:13:09,2023-08-01 14:34:54,21.75
'20161,"('Sun_point_parking',)",11685.0,2023-08-02 12:45:35,2023-08-02 16:11:20,205.75
'20291,"('Sun_point_parking',)",15090.0,2023-08-02 10:43:31,2023-08-02 14:55:01,251.5
'20411,"('Sun_point_parking',)",2922.0,2023-08-02 11:20:39,2023-08-02 12:33:36,72.95
'22021,"('Sun_point_parking', 'Sun_point_nature_trail', 'Sun_point_parking')",990.0,2023-08-06 10:08:33,2023-08-06 13:14:00,185.45
'22121,"('Sun_point_parking', 'Sun_point_nature_trail', 'Sun_point_parking')",1111.0,2023-08-06 10:08:52,2023-08-06 13:41:38,212.76666666666668
'22221,"('Sun_point_parking',)",180.0,2023-08-06 13:47:35,2023-08-06 13:50:35,3.0
'22461,"('Sun_point_parking',)",120.0,2023-08-06 16:49:47,2023-08-06 16:51:47,2.0
'22471,"('Sun_point_parking',)",855.0,2023-08-06 11:44:20,2023-08-06 12:07:50,23.5
'25201,"('Sun_point_parking',)",6735.0,2023-08-08 14:59:39,2023-08-08 16:51:54,112.25
