ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01061,"('Baring_falls_trail', 'Shuttle_Sunrift_gorge')",1802.0,2023-07-02 16:38:09,2023-07-02 17:12:10,34.016666666666666
'02011,"('Jackson_glac_overlook',)",120.0,2023-07-05 09:45:39,2023-07-05 09:47:39,2.0
'02031,"('Jackson_glac_overlook',)",180.0,2023-07-05 11:38:13,2023-07-05 11:41:13,3.0
'02091,"('Jackson_glac_overlook',)",570.0,2023-07-05 10:53:32,2023-07-05 11:03:02,9.5
'02111,"('Jackson_glac_overlook',)",645.0,2023-07-05 10:53:27,2023-07-05 11:05:12,11.75
'02161,"('Jackson_glac_overlook',)",315.0,2023-07-05 11:23:23,2023-07-05 11:28:38,5.25
'02181,"('Jackson_glac_overlook',)",540.0,2023-07-05 11:17:09,2023-07-05 11:26:09,9.0
'02191,"('Viriginia_falls_trail', 'StMary_falls_trail')",3105.0,2023-07-05 15:02:58,2023-07-05 16:21:43,78.75
'02201,"('Jackson_glac_overlook',)",405.0,2023-07-05 15:30:59,2023-07-05 15:37:44,6.75
'02241,"('Baring_falls_trail',)",975.0,2023-07-05 11:38:24,2023-07-05 11:54:39,16.25
'02321,"('Baring_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Baring_falls_parking')",3944.0,2023-07-05 09:45:33,2023-07-05 13:10:33,205.0
'02331,"('Baring_falls_parking',)",3330.0,2023-07-05 12:45:59,2023-07-05 13:44:59,59.0
'02351,"('Jackson_glac_overlook', 'Baring_falls_parking', 'Baring_falls_trail')",2101.0,2023-07-05 11:40:02,2023-07-05 12:41:47,61.75
'02441,"('Jackson_glac_overlook',)",735.0,2023-07-05 16:53:09,2023-07-05 17:05:24,12.25
'02471,"('Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking')",5730.0,2023-07-05 12:27:50,2023-07-05 14:58:05,150.25
'02551,"('Baring_falls_trail',)",795.0,2023-07-05 13:46:24,2023-07-05 13:59:39,13.25
'03031,"('Shuttle_St_mary_falls', 'Jackson_glac_overlook', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",8655.0,2023-07-06 12:40:11,2023-07-06 18:37:41,357.5
'03161,"('StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",6480.0,2023-07-06 10:58:15,2023-07-06 13:06:30,128.25
'03201,"('Shuttle_St_mary_falls', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",8055.0,2023-07-06 12:55:39,2023-07-06 16:09:23,193.73333333333332
'03411,"('Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",4979.0,2023-07-06 13:28:31,2023-07-06 14:57:01,88.5
'03471,"('Shuttle_St_mary_falls', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",7371.0,2023-07-06 13:30:37,2023-07-06 16:03:28,152.85
'05131,"('St_mary_falls_parking', 'Baring_falls_parking', 'Baring_falls_trail', 'StMary_falls_trail', 'Viriginia_falls_trail', 'Baring_falls_trail', 'Baring_falls_parking')",7245.0,2023-07-10 09:44:34,2023-07-10 15:01:05,316.51666666666665
'05251,"('St_mary_falls_parking', 'Viriginia_falls_trail')",2954.0,2023-07-10 13:12:47,2023-07-10 14:31:17,78.5
'05341,"('Baring_falls_to_sun_point', 'Baring_falls_trail')",794.0,2023-07-10 12:27:48,2023-07-10 12:51:48,24.0
'05461,"('Jackson_glac_overlook',)",420.0,2023-07-10 12:11:02,2023-07-10 12:19:47,8.75
'05511,"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Jackson_glac_overlook')",10364.0,2023-07-10 10:47:08,2023-07-10 14:25:53,218.75
'05541,"('Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook', 'Shuttle_Jackson_glac_overlook', 'Jackson_glac_overlook')",2381.0,2023-07-10 11:41:12,2023-07-10 14:31:21,170.15
'06181,"('Baring_falls_trail',)",1755.0,2023-07-11 15:16:33,2023-07-11 15:46:33,30.0
'06261,"('Jackson_glac_overlook',)",5101.0,2023-07-11 15:41:02,2023-07-11 17:06:03,85.01666666666667
'07091,"('St_mary_falls_parking',)",390.0,2023-07-12 16:10:37,2023-07-12 16:17:07,6.5
'07261,"('St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking')",3511.0,2023-07-12 17:40:50,2023-07-12 18:48:35,67.75
'07301,"('Jackson_glac_overlook',)",465.0,2023-07-12 17:26:55,2023-07-12 17:34:55,8.0
'07351,"('Jackson_glac_overlook',)",255.0,2023-07-12 16:54:38,2023-07-12 16:58:53,4.25
'07391,"('Baring_falls_to_sun_point', 'Baring_falls_trail', 'Viriginia_falls_trail', 'Baring_falls_to_sun_point')",4409.0,2023-07-06 12:38:08,2023-07-06 15:37:07,178.98333333333332
'07441,"('Baring_falls_to_sun_point',)",930.0,2023-07-12 16:16:24,2023-07-12 16:31:54,15.5
'08231,"('Baring_falls_to_sun_point', 'StMary_falls_trail')",3600.0,2023-07-14 15:15:38,2023-07-14 16:56:53,101.25
'09071,"('St_mary_falls_parking', 'Viriginia_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking')",8640.0,2023-07-16 08:39:32,2023-07-16 12:42:32,243.0
'09111,"('Baring_falls_parking', 'Jackson_glac_overlook')",1260.0,2023-07-16 08:38:35,2023-07-16 10:50:50,132.25
'09281,"('St_mary_falls_parking', 'Baring_falls_trail')",1680.0,2023-07-16 08:38:07,2023-07-16 10:58:07,140.0
'09351,"('Jackson_glac_overlook',)",840.0,2023-07-16 08:39:52,2023-07-16 09:15:37,35.75
'09381,"('St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking', 'Jackson_glac_overlook')",3571.0,2023-07-16 08:02:58,2023-07-16 09:43:59,101.01666666666667
'09401,"('Baring_falls_trail', 'StMary_falls_trail', 'St_mary_falls_parking', 'Shuttle_St_mary_falls')",9869.0,2023-07-16 11:16:01,2023-07-16 14:42:16,206.25
'12011,"('Shuttle_St_mary_falls', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",6705.0,2023-07-21 13:49:24,2023-07-21 15:42:09,112.75
'12401,"('StMary_falls_trail', 'Shuttle_St_mary_falls')",4861.0,2023-07-21 09:47:14,2023-07-21 12:15:14,148.0
'12501,"('Jackson_glac_overlook', 'Shuttle_St_mary_falls', 'StMary_falls_trail')",1515.0,2023-07-21 11:35:42,2023-07-21 13:14:27,98.75
'13331,"('Jackson_glac_overlook', 'Gunsight_trailhead_stMary_falls', 'StMary_falls_trail', 'Shuttle_St_mary_falls')",12195.0,2023-07-24 09:45:01,2023-07-24 13:16:31,211.5
'14011,"('Jackson_glac_overlook',)",345.0,2023-07-26 17:14:40,2023-07-26 17:20:25,5.75
'14101,"('Jackson_glac_overlook',)",345.0,2023-07-26 16:11:17,2023-07-26 16:17:02,5.75
'14161,"('Jackson_glac_overlook',)",315.0,2023-07-26 17:12:27,2023-07-26 17:17:42,5.25
'14171,"('Jackson_glac_overlook',)",540.0,2023-07-26 18:23:18,2023-07-26 18:32:18,9.0
'14181,"('Jackson_glac_overlook',)",630.0,2023-07-26 18:18:00,2023-07-26 18:28:30,10.5
'14271,"('Baring_falls_parking', 'Shuttle_St_mary_falls', 'Jackson_glac_overlook')",735.0,2023-07-26 16:53:44,2023-07-26 17:35:29,41.75
'14431,"('Jackson_glac_overlook',)",540.0,2023-07-26 16:29:37,2023-07-26 16:38:37,9.0
'14541,"('Jackson_glac_overlook',)",375.0,2023-07-26 16:47:17,2023-07-26 16:54:32,7.25
'15532,"('Shuttle_St_mary_falls', 'StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail', 'Shuttle_St_mary_falls', 'Shuttle_Sunrift_gorge', 'Baring_falls_trail')",7995.0,2023-07-27 13:12:17,2023-07-27 16:19:02,186.75
'16341,"('St_mary_falls_parking',)",330.0,2023-07-30 20:47:08,2023-07-30 20:52:38,5.5
'16411,"('Shuttle_St_mary_falls',)",195.0,2023-07-30 19:28:29,2023-07-30 19:31:44,3.25
'17081,"('Jackson_glac_overlook',)",405.0,2023-07-31 18:35:30,2023-07-31 18:42:15,6.75
'17121,"('Baring_falls_trail', 'St_mary_falls_parking', 'StMary_falls_trail', 'St_mary_falls_parking')",7986.0,2023-07-31 17:58:25,2023-07-31 20:22:45,144.33333333333334
'17271,"('StMary_falls_trail',)",1050.0,2023-07-31 17:37:28,2023-07-31 17:54:58,17.5
'17381,"('Jackson_glac_overlook',)",375.0,2023-07-31 16:16:43,2023-07-31 16:22:58,6.25
'17391,"('StMary_falls_trail', 'Viriginia_falls_trail', 'StMary_falls_trail')",4725.0,2023-07-31 16:09:38,2023-07-31 18:07:08,117.5
'17441,"('Baring_falls_trail',)",960.0,2023-07-31 17:36:17,2023-07-31 17:52:17,16.0
'17461,"('Baring_falls_parking', 'Jackson_glac_overlook')",705.0,2023-07-31 16:22:17,2023-07-31 17:04:02,41.75
'17501,"('Baring_falls_parking',)",4125.0,2023-07-31 16:51:47,2023-07-31 18:16:17,84.5
