ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Shuttle_Logan_pass')",10874.0,2023-07-02 11:50:55,2023-07-02 16:35:41,284.76666666666665
'01061,"('Avalanche_parking', 'Baring_falls_trail', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Rising_sun_boat_dock', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Shuttle_Sunrift_gorge', 'Sun_point_parking')",13133.0,2023-07-02 11:21:43,2023-07-02 18:30:55,429.2
'01241,"('Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Shuttle_Logan_pass', 'Shuttle_Loop', 'Trail_of_Cedars')",11566.0,2023-07-02 12:05:23,2023-07-02 17:11:19,305.93333333333334
'01341,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop')",14114.0,2023-07-02 12:05:19,2023-07-02 23:34:09,688.8333333333334
'01371,"('Apgar_VC_parking', 'Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')",61049.0,2023-07-02 12:05:35,2023-07-03 05:44:55,1059.3333333333333
'01401,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')",28811.0,2023-07-02 13:29:18,2023-07-03 05:49:52,980.5666666666667
'01501,"('Apgar_VC', 'Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop')",32577.0,2023-07-02 12:46:00,2023-07-03 05:33:02,1007.0333333333333
'01511,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Avalanche_trail', 'Lake_macdonald_lodge', 'Shuttle_Avalanche', 'Shuttle_Lake_macdonald', 'Trail_of_Cedars')",26379.0,2023-07-02 12:05:23,2023-07-03 04:17:02,971.65
'02011,"('Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Red_rock', 'Shuttle_Lake_macdonald')",3447.0,2023-07-05 09:25:39,2023-07-05 12:45:07,199.46666666666667
'02021,"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Shuttle_Loop')",33617.0,2023-07-05 09:12:16,2023-07-05 19:06:36,594.3333333333334
'02031,"('Gunsight_pass_trailhead', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Lunch_creek_parking', 'Many_glacier_trail', 'Moose_country', 'Rising_sun', 'Sun_point_parking')",18348.0,2023-07-05 07:54:28,2023-07-05 18:17:24,622.9333333333333
'02061,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village', 'Avalanche_trail', 'Trail_of_Cedars')",26942.0,2023-07-05 09:14:40,2023-07-05 19:02:40,588.0
'02081,"('Apgar_VC_parking', 'Big_bend', 'Logan_pass_parking', 'Red_rock', 'St_mary_VC_parking', 'Sun_point_parking')",12705.0,2023-07-05 07:17:12,2023-07-05 14:27:57,430.75
'02091,"('Apgar_VC_parking', 'Apgar_village', 'Big_bend', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Moose_country', 'Rising_sun', 'Sun_point_parking')",12345.0,2023-07-05 07:44:47,2023-07-05 15:38:02,473.25
'02101,"('Apgar_VC_parking', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'St_mary_VC_parking')",5940.0,2023-07-05 08:07:35,2023-07-05 23:22:02,914.45
