ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01341,"('Apgar_VC', 'Apgar_VC_parking')",4124.0,2023-07-02 19:37:24,2023-07-02 23:34:09,236.75
'01371,"('Apgar_VC_parking', 'Apgar_village')",45314.0,2023-07-02 17:07:13,2023-07-03 05:44:55,757.7
'01401,"('Apgar_VC', 'Apgar_VC_parking')",15253.0,2023-07-02 17:34:18,2023-07-03 05:49:52,735.5666666666667
'01501,"('Apgar_VC',)",21552.0,2023-07-02 18:43:04,2023-07-03 05:33:02,649.9666666666667
'01511,"('Apgar_VC', 'Apgar_VC_parking')",21594.0,2023-07-02 16:16:38,2023-07-03 04:17:02,720.4
'02061,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",12197.0,2023-07-05 15:28:55,2023-07-05 19:02:40,213.75
'02081,"('Apgar_VC_parking',)",465.0,2023-07-05 07:17:12,2023-07-05 07:24:57,7.75
'02091,"('Apgar_VC_parking', 'Apgar_village')",960.0,2023-07-05 07:44:47,2023-07-05 15:38:02,473.25
'02101,"('Apgar_VC_parking',)",375.0,2023-07-05 08:07:35,2023-07-05 08:13:50,6.25
'02111,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",2910.0,2023-07-05 07:21:58,2023-07-05 15:32:43,490.75
'02181,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",18353.0,2023-07-05 07:32:05,2023-07-06 00:32:08,1020.05
'02211,"('Apgar_campground', 'Apgar_village')",3090.0,2023-07-05 13:17:00,2023-07-05 14:09:45,52.75
'02221,"('Apgar_VC', 'Apgar_VC_parking')",7402.0,2023-07-05 17:08:08,2023-07-05 23:56:20,408.2
'02231,"('Apgar_village',)",2910.0,2023-07-05 13:16:58,2023-07-05 16:49:43,212.75
'02251,"('Apgar_VC_parking', 'Apgar_village')",15405.0,2023-07-05 09:04:44,2023-07-05 13:23:14,258.5
'02271,"('Apgar_VC', 'Apgar_VC_parking')",2683.0,2023-07-05 07:14:43,2023-07-05 08:01:56,47.21666666666667
'02281,"('Apgar_VC', 'Apgar_VC_parking')",765.0,2023-07-05 15:12:17,2023-07-05 15:25:17,13.0
'02291,"('Apgar_VC', 'Apgar_VC_parking')",4170.0,2023-07-05 07:13:58,2023-07-05 23:01:26,947.4666666666667
'02301,"('Apgar_village',)",285.0,2023-07-05 15:37:25,2023-07-05 15:42:10,4.75
