ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",9314.0,2023-07-02 12:52:25,2023-07-02 15:33:25,161.0
'01061,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",9885.0,2023-07-02 12:29:10,2023-07-02 17:47:25,318.25
'01241,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",6616.0,2023-07-02 13:14:53,2023-07-02 15:16:23,121.5
'01341,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Shuttle_Logan_pass')",7935.0,2023-07-02 13:52:29,2023-07-02 16:07:59,135.5
'01501,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",7635.0,2023-07-02 13:58:30,2023-07-02 16:09:00,130.5
'02011,"('Logan_pass_parking',)",180.0,2023-07-05 09:25:39,2023-07-05 09:28:39,3.0
'02021,"('Logan_pass_parking', 'Loop_highline_grinnell_glac')",31441.0,2023-07-05 09:12:16,2023-07-05 19:06:36,594.3333333333334
'02031,"('Logan_pass_VC', 'Logan_pass_parking')",749.0,2023-07-05 10:59:43,2023-07-05 11:20:27,20.733333333333334
'02081,"('Logan_pass_parking',)",7485.0,2023-07-05 10:17:42,2023-07-05 12:22:27,124.75
'02091,"('Logan_pass_VC', 'Logan_pass_parking')",2685.0,2023-07-05 10:04:17,2023-07-05 13:56:17,232.0
'02101,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",5220.0,2023-07-05 09:59:15,2023-07-05 11:33:45,94.5
'02111,"('Logan_pass_VC', 'Logan_pass_parking')",2235.0,2023-07-05 10:04:13,2023-07-05 13:56:13,232.0
'02141,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')",9855.0,2023-07-05 09:51:50,2023-07-05 12:55:35,183.75
'02161,"('Logan_pass_VC', 'Logan_pass_parking')",914.0,2023-07-05 10:44:08,2023-07-05 11:10:23,26.25
'02181,"('Logan_pass_parking',)",2580.0,2023-07-05 10:39:39,2023-07-05 16:20:15,340.6
'02191,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac')",15555.0,2023-07-05 09:10:58,2023-07-05 13:50:58,280.0
'02201,"('Logan_pass_parking',)",240.0,2023-07-05 14:47:14,2023-07-05 14:51:14,4.0
'02221,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",10485.0,2023-07-05 12:50:54,2023-07-05 15:46:24,175.5
'02241,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",6420.0,2023-07-05 14:03:39,2023-07-05 16:23:09,139.5
'02271,"('Logan_pass_VC', 'Loop_highline_grinnell_glac')",24751.0,2023-07-05 09:13:41,2023-07-05 16:22:08,428.45
'02291,"('Logan_pass_VC', 'Loop_highline_grinnell_glac')",24856.0,2023-07-05 09:13:42,2023-07-05 16:15:43,422.01666666666665
'02301,"('Logan_pass_parking',)",3390.0,2023-07-05 09:41:25,2023-07-05 14:28:55,287.5
'02331,"('Logan_pass_parking',)",3225.0,2023-07-05 10:43:59,2023-07-05 11:37:44,53.75
'02341,"('Logan_pass_VC', 'Loop_highline_grinnell_glac')",28110.0,2023-07-05 10:38:46,2023-07-05 18:31:46,473.0
'02351,"('Logan_pass_parking',)",300.0,2023-07-05 11:10:47,2023-07-05 11:15:47,5.0
'02431,"('Logan_pass_parking',)",255.0,2023-07-05 15:13:49,2023-07-05 15:18:04,4.25
'02441,"('Logan_pass_parking',)",3750.0,2023-07-05 15:37:09,2023-07-05 16:39:39,62.5
'02451,"('Logan_pass_parking',)",435.0,2023-07-05 09:05:23,2023-07-05 09:12:38,7.25
